区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","↑3","4","5240","monoA","東G","282.0","07/14 00:00","+52","+22.6%","1,222,800","341,082千円","35億円","-","3.2倍"
"値上がり","2","↑28","30","5103","昭和HD","東S","30.3","07/14 00:00","+5","+21.2%","2,116,600","75,150千円","23億円","-","2.1倍"
"値上がり","3","↓2","1","4381","ビープラッ","東G","651.0","07/13 23:56","+100","+18.1%","325,200","191,260千円","19億円","45.1倍","-"
"値上がり","4","NEW","","4199","ワンダープ","東G","1,053.0","07/13 23:21","+150","+16.6%","31,800","33,485千円","27億円","-","8.8倍"
"値上がり","5","↑9","14","3996","サインポス","東S","224.0","07/13 23:55","+26","+13.1%","12,600","2,783千円","29億円","32.2倍","1.5倍"
"値上がり","6","NEW","","7513","コジマ","東P","1,400.0","07/14 00:00","+123","+9.6%","43,800","61,621千円","1,085億円","20.5倍","1.5倍"
"値上がり","7","NEW","","7725","インターア","東P","1,924.5","07/13 23:54","+146","+8.2%","38,000","72,163千円","195億円","18.6倍","1.8倍"
"値上がり","8","NEW","","6597","HPCシス","東G","3,969.5","07/13 23:56","+295","+8.0%","600","2,382千円","154億円","32.0倍","6.2倍"
"値上がり","9","NEW","","8343","秋田銀行","東P","7,600.0","07/13 17:20","+480","+6.7%","200","1,520千円","1,353億円","15.9倍","0.8倍"
"値上がり","10","NEW","","2388","ウェッジH","東G","40.5","07/13 23:58","+3","+6.6%","760,600","31,078千円","17億円","-","0.7倍"
"値上がり","11","NEW","","195A","MUSCA","東G","810.0","07/13 20:58","+48","+6.3%","7,200","6,034千円","28億円","-","2.6倍"
"値上がり","12","NEW","","3075","銚子丸","東S","1,765.0","07/13 22:15","+99","+5.9%","600","1,059千円","221億円","28.2倍","2.4倍"
"値上がり","13","NEW","","6897","ツインバー","東S","717.9","07/13 23:54","+37","+5.4%","20,200","14,424千円","77億円","170.2倍","1.2倍"
"値上がり","14","NEW","","3671","ソフトマッ","東S","339.0","07/13 23:37","+16","+5.0%","400","136千円","82億円","14.1倍","2.1倍"
"値上がり","15","NEW","","3778","さくらイン","東P","2,960.0","07/13 23:32","+126","+4.4%","29,000","85,622千円","1,185億円","139.4倍","3.9倍"
"値上がり","16","NEW","","6834","精工技研","東S","23,000.0","07/13 23:38","+950","+4.3%","600","13,636千円","2,056億円","32.1倍","6.1倍"
"値上がり","17","NEW","","7085","カーブスH","東P","949.0","07/13 23:41","+39","+4.3%","21,400","19,987千円","874億円","18.0倍","3.7倍"
"値上がり","18","NEW","","7042","アクセスG","東S","669.0","07/13 17:42","+27","+4.2%","200","134千円","23億円","12.3倍","1.6倍"
"値上がり","19","NEW","","6378","木村化工機","東S","1,220.0","07/13 23:51","+49","+4.2%","13,000","15,846千円","235億円","12.6倍","1.1倍"
"値上がり","20","NEW","","4583","カイオム･","東G","76.0","07/13 22:36","+3","+4.1%","600","45千円","55億円","-","4.2倍"
"値上がり","21","NEW","","3087","ドトール･","東P","2,910.0","07/13 23:46","+110","+3.9%","3,800","10,948千円","1,223億円","16.2倍","1.1倍"
"値上がり","22","NEW","","4443","Sansa","東P","1,759.9","07/13 23:59","+65","+3.8%","42,600","74,463千円","2,220億円","23.9倍","11.1倍"
"値上がり","23","NEW","","3236","プロパスト","東S","275.0","07/13 23:56","+9","+3.4%","23,800","6,531千円","91億円","5.6倍","0.7倍"
"値上がり","24","↓19","5","7063","Birdm","東G","93.0","07/13 23:59","+3","+3.3%","528,200","52,116千円","31億円","-","2.0倍"
"値上がり","25","NEW","","8439","東京センチ","東P","2,620.0","07/13 19:57","+84","+3.3%","2,400","6,209千円","12,806億円","10.4倍","1.1倍"
"値上がり","26","NEW","","6573","CRAVI","東G","28.9","07/13 23:55","+1","+3.2%","360,800","10,423千円","10億円","-","3.1倍"
"値上がり","27","NEW","","3645","メディカル","東G","259.0","07/13 23:37","+7","+2.8%","200","52千円","24億円","19.8倍","1.2倍"
"値上がり","28","NEW","","3048","ビックカメ","東P","1,670.0","07/13 23:45","+41","+2.5%","15,400","25,688千円","2,860億円","15.5倍","1.6倍"
"値上がり","29","NEW","","6666","リバーエレ","東S","820.0","07/13 18:22","+19","+2.4%","200","164千円","67億円","3,374.3倍","1.5倍"
"値上がり","30","NEW","","9278","ブックオフ","東P","2,137.0","07/13 23:59","+49","+2.3%","9,600","20,471千円","375億円","13.4倍","1.8倍"
"値下がり","1","NEW","","4783","NCD","東S","1,959.0","07/13 23:49","-499","-20.3%","200","392千円","158億円","8.7倍","1.9倍"
"値下がり","2","NEW","","3907","シリコンス","東S","755.0","07/13 18:48","-150","-16.6%","2,600","1,963千円","21億円","-","1.3倍"
"値下がり","3","NEW","","9165","クオルテッ","東G","1,481.0","07/13 23:01","-265","-15.2%","200","296千円","35億円","10.8倍","1.0倍"
