区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","→","1","4075","ブレインズ","東G","1,780.0","09/01 23:59","+393","+28.3%","218,200","404,415千円","104億円","64.6倍","6.0倍"
"値上がり","2","NEW","","2612","かどや製油","東S","2,193.0","09/01 23:17","+400","+22.3%","2,200","4,825千円","606億円","29.5倍","1.6倍"
"値上がり","3","NEW","","8860","フジ住宅","東P","855.5","09/01 23:09","+88","+11.4%","400","342千円","306億円","12.7倍","0.5倍"
"値上がり","4","↑14","18","7709","クボテック","東S","74.5","09/01 23:59","+7","+9.6%","503,200","37,036千円","10億円","-","-"
"値上がり","5","NEW","","2593","伊藤園","東P","3,233.0","09/01 23:59","+222","+7.4%","41,000","131,011千円","2,726億円","23.9倍","1.5倍"
"値上がり","6","NEW","","9972","アルテック","東S","301.0","09/01 21:46","+20","+7.1%","200","60千円","41億円","10.4倍","0.5倍"
"値上がり","7","NEW","","2315","CAICA","東S","72.6","09/01 23:59","+5","+6.8%","226,000","16,334千円","129億円","141.5倍","2.1倍"
"値上がり","8","NEW","","4479","マクアケ","東G","1,010.0","09/01 23:30","+43","+4.4%","21,000","21,384千円","129億円","17.4倍","2.1倍"
"値上がり","9","NEW","","6897","ツインバー","東S","698.5","09/01 23:59","+29","+4.3%","45,400","31,447千円","74億円","165.6倍","1.1倍"
"値上がり","10","NEW","","146A","コロンビア","東S","3,650.0","09/01 17:19","+145","+4.1%","200","730千円","280億円","6.7倍","1.5倍"
"値上がり","11","NEW","","6347","プラコー","東S","269.0","09/01 17:37","+10","+3.9%","200","54千円","26億円","25.9倍","1.6倍"
"値上がり","12","NEW","","436A","サイバーソ","東G","1,175.0","09/01 23:38","+37","+3.3%","400","471千円","185億円","-","3.8倍"
"値上がり","13","NEW","","9401","TBSHD","東P","6,262.0","09/01 23:57","+197","+3.2%","400","2,605千円","9,648億円","19.9倍","0.6倍"
"値上がり","14","NEW","","8912","エリアクエ","東S","161.0","09/01 23:38","+5","+3.2%","12,000","1,915千円","25億円","17.8倍","1.9倍"
"値上がり","15","NEW","","2134","北浜キャピ","東S","20.6","09/01 23:59","+1","+3.0%","670,600","13,828千円","114億円","6.3倍","2.3倍"
"値上がり","16","NEW","","7771","日本精密","東S","281.0","09/01 22:40","+7","+2.6%","1,000","278千円","67億円","33.7倍","3.0倍"
