区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","↑5","6","9344","アクシスコ","東G","1,439.0","08/17 23:54","+300","+26.3%","30,800","43,553千円","72億円","14.3倍","2.1倍"
"値上がり","2","NEW","","4424","Amazi","東G","400.0","08/17 23:59","+79","+24.6%","109,200","43,047千円","26億円","-","3.4倍"
"値上がり","3","NEW","","8995","誠建設工業","東S","2,380.0","08/17 22:59","+400","+20.2%","73,600","170,303千円","48億円","68.4倍","1.2倍"
"値上がり","4","NEW","","3810","サイバース","東S","261.0","08/17 23:59","+33","+14.5%","827,800","218,043千円","214億円","-","3.3倍"
"値上がり","5","↓4","1","5010","日本精蠟","東S","360.0","08/17 23:59","+34","+10.4%","1,291,400","470,183千円","71億円","3.6倍","0.9倍"
"値上がり","6","NEW","","5103","昭和HD","東S","4.4","08/17 23:28","0","+10.0%","720,400","3,204千円","3億円","-","0.3倍"
"値上がり","7","NEW","","9115","明海G","東S","1,154.9","08/17 23:52","+102","+9.7%","16,000","17,753千円","393億円","18.7倍","0.7倍"
"値上がり","8","↑4","12","584A","LiNKX","東G","3,564.0","08/17 23:59","+294","+9.0%","112,000","399,533千円","242億円","49.5倍","14.0倍"
"値上がり","9","NEW","","7035","and f","東S","282.1","08/17 23:59","+23","+8.9%","34,000","9,502千円","32億円","-","3.7倍"
"値上がり","10","NEW","","3930","はてな","東G","789.0","08/17 22:39","+46","+6.2%","800","640千円","24億円","-","1.1倍"
"値上がり","11","NEW","","6721","ウインテス","東S","75.0","08/17 23:59","+4","+5.6%","17,800","1,290千円","43億円","83.4倍","11.9倍"
"値上がり","12","NEW","","5269","日本コンク","東P","396.5","08/17 23:54","+20","+5.2%","22,000","8,793千円","215億円","8.3倍","0.5倍"
"値上がり","13","NEW","","6627","テラプロー","東S","12,950.0","08/17 23:46","+600","+4.9%","4,600","59,143千円","1,178億円","19.6倍","2.8倍"
"値上がり","14","↑6","20","4376","くふうカン","東G","175.0","08/17 23:01","+8","+4.8%","1,800","314千円","106億円","-","1.3倍"
"値上がり","15","NEW","","7018","内海造船","東S","12,700.0","08/17 20:16","+560","+4.6%","400","5,080千円","215億円","21.5倍","1.5倍"
"値上がり","16","NEW","","2459","アウンコン","東S","186.0","08/17 23:05","+8","+4.5%","11,600","2,145千円","14億円","-","4.5倍"
"値上がり","17","NEW","","3168","MERF","東S","1,640.0","08/17 23:54","+70","+4.5%","11,000","18,089千円","232億円","8.2倍","1.9倍"
"値上がり","18","NEW","","7532","パン･パシ","東P","948.0","08/17 23:59","+39","+4.3%","109,600","103,585千円","28,340億円","26.5倍","4.1倍"
"値上がり","19","NEW","","4812","電通総研","東P","2,768.9","08/17 22:41","+113","+4.3%","12,200","33,382千円","5,404億円","30.0倍","5.1倍"
"値上がり","20","NEW","","2695","くら寿司","東P","1,758.1","08/17 21:33","+70","+4.2%","400","707千円","1,397億円","46.6倍","2.2倍"
"値上がり","21","NEW","","556A","犬猫生活","東G","2,350.0","08/17 21:14","+89","+3.9%","400","940千円","62億円","13.2倍","3.5倍"
"値上がり","22","NEW","","7004","カナデビア","東P","1,294.0","08/17 22:20","+49","+3.9%","2,400","3,046千円","2,177億円","10.4倍","1.1倍"
"値上がり","23","NEW","","6327","北川精機","東S","4,140.0","08/17 23:58","+155","+3.9%","26,000","106,368千円","338億円","55.4倍","6.0倍"
"値上がり","24","NEW","","3418","バルニバー","東G","1,090.0","08/17 23:28","+40","+3.8%","200","218千円","118億円","26.6倍","1.9倍"
"値上がり","25","NEW","","8070","東京産業","東P","910.0","08/17 22:08","+33","+3.8%","6,400","5,823千円","238億円","14.0倍","0.9倍"
"値上がり","26","NEW","","2962","テクニスコ","東S","1,410.0","08/17 23:48","+51","+3.8%","2,400","3,371千円","130億円","64.8倍","7.3倍"
"値上がり","27","NEW","","4381","ビープラッ","東G","419.0","08/17 23:54","+14","+3.5%","18,800","7,740千円","13億円","29.9倍","-"
"値上がり","28","NEW","","2492","インフォマ","東P","587.0","08/17 23:46","+19","+3.3%","7,800","4,535千円","1,565億円","50.5倍","5.2倍"
"値上がり","29","NEW","","3238","セントラル","東S","402.0","08/17 23:27","+13","+3.3%","200","80千円","39億円","9.7倍","0.4倍"
"値上がり","30","NEW","","6996","ニチコン","東P","3,096.0","08/17 23:28","+96","+3.2%","3,800","11,671千円","2,079億円","31.0倍","1.7倍"
"値下がり","1","NEW","","5036","日本ビジネ","東P","1,400.0","08/17 17:15","-175","-11.1%","200","280千円","632億円","9.0倍","2.2倍"
"値下がり","2","NEW","","2778","パレモ･H","東S","105.1","08/17 18:12","-6","-5.3%","2,000","211千円","12億円","12.5倍","0.8倍"
"値下がり","3","NEW","","280A","TMH","東G","1,206.0","08/17 18:42","-63","-5.0%","200","241千円","45億円","-","3.2倍"
"値下がり","4","NEW","","3918","PCIHD","東S","1,105.0","08/17 23:47","-55","-4.7%","600","663千円","110億円","8.7倍","1.2倍"
"値下がり","5","NEW","","7416","はるやまH","東S","649.0","08/17 20:27","-31","-4.6%","400","247千円","102億円","101.8倍","0.5倍"
"値下がり","6","NEW","","4668","明光ネット","東P","750.1","08/17 18:03","-31","-4.0%","200","150千円","190億円","18.8倍","1.6倍"
"値下がり","7","NEW","","3624","アクセルマ","東G","86.5","08/17 23:59","-4","-3.9%","203,800","17,756千円","18億円","-","5.3倍"
"値下がり","8","NEW","","2183","リニカル","東S","202.0","08/17 21:23","-8","-3.8%","200","40千円","46億円","25.3倍","1.4倍"
"値下がり","9","NEW","","4531","有機合成薬","東S","350.0","08/17 18:38","-13","-3.6%","200","70千円","76億円","12.6倍","0.6倍"
"値下がり","10","NEW","","7607","進和","東P","3,010.0","08/17 21:20","-105","-3.4%","200","602千円","404億円","13.0倍","0.9倍"
"値下がり","11","NEW","","3778","さくらイン","東P","3,685.0","08/17 23:59","-115","-3.0%","25,000","92,722千円","1,475億円","98.3倍","4.8倍"
"値下がり","12","NEW","","3187","ミラタップ","東G","355.2","08/17 21:19","-10","-2.7%","200","71千円","63億円","27.7倍","2.2倍"
"値下がり","13","NEW","","9423","フォーバル","東S","103.2","08/17 17:16","-3","-2.6%","2,000","206千円","25億円","20.0倍","3.6倍"
"値下がり","14","NEW","","6557","AIAIG","東G","762.0","08/17 17:10","-20","-2.6%","200","152千円","49億円","7.1倍","1.4倍"
"値下がり","15","NEW","","6574","コンヴァノ","東G","108.2","08/17 23:59","-3","-2.5%","47,400","5,156千円","540億円","9.3倍","4.4倍"
"値下がり","16","NEW","","2304","CSSHD","東S","911.0","08/17 23:51","-23","-2.5%","600","547千円","45億円","7.7倍","1.4倍"
"値下がり","17","NEW","","1417","ミライト･","東P","3,470.7","08/17 23:22","-81","-2.3%","1,000","3,506千円","3,051億円","12.0倍","1.1倍"
"値下がり","18","NEW","","5137","スマートド","東G","278.5","08/17 22:37","-7","-2.3%","1,400","393千円","104億円","11.7倍","7.5倍"
