区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","4436","ミンカブ･","東G","600.0","09/17 22:51","+100","+20.0%","41,200","24,720千円","92億円","3.1倍","6.7倍"
"値上がり","2","NEW","","4073","ジィ･シィ","東G","649.0","09/17 23:59","+100","+18.2%","50,200","32,580千円","16億円","24.6倍","4.6倍"
"値上がり","3","NEW","","2788","アップルイ","東S","457.5","09/17 23:59","+66","+16.7%","153,000","70,170千円","59億円","7.4倍","0.6倍"
"値上がり","4","NEW","","302A","ビースタイ","東G","670.0","09/17 23:37","+86","+14.7%","400","266千円","19億円","12.1倍","1.6倍"
"値上がり","5","NEW","","3075","銚子丸","東S","1,900.0","09/17 23:48","+240","+14.5%","13,400","24,924千円","238億円","19.5倍","2.6倍"
"値上がり","6","NEW","","3652","ディジタル","東G","3,209.0","09/17 23:59","+245","+8.3%","76,200","244,882千円","101億円","336.4倍","3.2倍"
"値上がり","7","NEW","","5542","新報国マテ","東S","1,242.6","09/17 23:59","+94","+8.1%","68,000","83,361千円","83億円","12.7倍","1.4倍"
"値上がり","8","NEW","","299A","クラシル","東G","1,353.0","09/17 22:11","+100","+8.0%","200","271千円","580億円","23.5倍","4.2倍"
"値上がり","9","NEW","","3395","サンマルク","東P","2,668.0","09/17 23:59","+192","+7.8%","28,800","76,579千円","572億円","19.7倍","1.8倍"
"値上がり","10","NEW","","3498","霞ヶ関キャ","東P","7,725.0","09/17 23:53","+525","+7.3%","12,800","98,189千円","1,896億円","11.4倍","2.5倍"
"値上がり","11","NEW","","3823","THE W","東S","46.8","09/17 23:59","+3","+6.4%","3,032,200","142,655千円","70億円","-","4.2倍"
"値上がり","12","NEW","","5572","Ridge","東G","3,050.0","09/17 23:10","+180","+6.3%","2,400","7,268千円","132億円","29.3倍","3.6倍"
"値上がり","13","NEW","","3560","ほぼ日","東S","4,780.0","09/17 20:11","+260","+5.8%","200","956千円","111億円","23.1倍","2.0倍"
"値上がり","14","NEW","","9235","売れるネッ","東G","418.0","09/17 19:51","+22","+5.6%","2,600","1,063千円","34億円","26.1倍","-"
"値上がり","15","NEW","","4893","ノイルイミ","東G","143.1","09/17 21:50","+7","+5.2%","200","29千円","62億円","-","1.7倍"
"値上がり","16","NEW","","5574","ABEJA","東G","3,410.0","09/17 23:56","+160","+4.9%","5,400","18,549千円","340億円","39.9倍","6.4倍"
"値上がり","17","NEW","","2667","イメージワ","東S","116.0","09/17 23:59","+5","+4.5%","37,800","4,450千円","18億円","-","2.0倍"
"値上がり","18","↓14","4","6232","ACSL","東G","1,420.0","09/17 23:57","+61","+4.5%","96,400","136,687千円","277億円","-","9.7倍"
"値上がり","19","NEW","","7578","ニチリョク","東S","79.4","09/17 23:12","+3","+4.5%","2,000","159千円","15億円","12.0倍","0.5倍"
"値上がり","20","NEW","","7709","クボテック","東S","73.0","09/17 23:52","+3","+4.3%","279,600","20,324千円","10億円","-","-"
"値上がり","21","NEW","","9984","ソフトバン","東P","6,510.1","09/17 23:59","+263","+4.2%","524,600","3,375,480千円","371,014億円","-","2.0倍"
"値上がり","22","↓8","14","265A","Hmcom","東G","781.1","09/17 23:09","+31","+4.1%","3,600","2,883千円","32億円","101.6倍","1.9倍"
"値上がり","23","NEW","","3853","アステリア","東P","1,123.0","09/17 23:59","+44","+4.1%","800","889千円","191億円","-","2.0倍"
"値上がり","24","NEW","","6016","ジャパンエ","東S","12,860.0","09/17 23:37","+500","+4.0%","600","7,700千円","1,078億円","21.5倍","5.6倍"
"値上がり","25","NEW","","332A","ミーク","東G","1,235.0","09/17 23:41","+45","+3.8%","1,600","1,972千円","142億円","14.6倍","2.3倍"
"値上がり","26","NEW","","2164","地域新聞社","東S","114.0","09/17 17:33","+4","+3.6%","800","91千円","31億円","-","1.9倍"
"値上がり","27","NEW","","5076","インフロニ","東P","2,965.5","09/17 22:59","+101","+3.5%","2,400","6,989千円","7,503億円","8.8倍","1.1倍"
"値上がり","28","NEW","","9404","日本テレビ","東P","3,162.9","09/17 17:28","+107","+3.5%","600","1,898千円","7,727億円","15.0倍","0.7倍"
"値上がり","29","NEW","","285A","キオクシア","東P","51,620.0","09/17 23:59","+1,740","+3.5%","347,200","17,714,365千円","282,885億円","-","11.8倍"
"値上がり","30","NEW","","4417","グローバル","東G","5,776.0","09/17 22:56","+186","+3.3%","600","3,411千円","866億円","43.3倍","19.5倍"
"値下がり","1","NEW","","7698","アイスコ","東S","2,379.0","09/17 22:48","-491","-17.1%","200","476千円","94億円","19.2倍","2.2倍"
"値下がり","2","↑6","8","7524","マルシェ","東S","163.5","09/17 17:23","-9","-4.9%","200","33千円","26億円","43.7倍","1.6倍"
"値下がり","3","NEW","","2796","ファーマラ","東S","492.0","09/17 23:11","-22","-4.3%","5,000","2,448千円","57億円","514.5倍","0.9倍"
"値下がり","4","NEW","","5461","中部鋼鈑","東P","2,124.0","09/17 23:58","-93","-4.2%","5,600","11,951千円","569億円","189.7倍","0.8倍"
"値下がり","5","↑6","11","4933","I-ne","東P","2,170.1","09/17 23:57","-94","-4.1%","13,000","28,545千円","386億円","-","2.2倍"
"値下がり","6","↑17","23","387A","フラー","東G","900.0","09/17 17:23","-36","-3.8%","400","360千円","16億円","9.8倍","1.3倍"
"値下がり","7","NEW","","621A","オーディオ","東G","1,496.5","09/17 23:59","-58","-3.7%","331,400","498,740千円","61億円","-","7.7倍"
"値下がり","8","NEW","","6740","ジャパンデ","東P","49.5","09/17 23:59","-2","-2.9%","8,633,200","424,961千円","2,207億円","-","62.3倍"
"値下がり","9","NEW","","5131","リンカーズ","東G","184.0","09/17 23:59","-5","-2.6%","149,600","27,842千円","26億円","-","5.5倍"
"値下がり","10","NEW","","7351","グッドパッ","東G","497.2","09/17 20:42","-13","-2.5%","800","419千円","43億円","10.6倍","1.0倍"
"値下がり","11","NEW","","3624","アクセルマ","東G","90.7","09/17 23:59","-2","-2.5%","62,200","5,610千円","18億円","-","5.5倍"
"値下がり","12","↑5","17","9704","アゴーラホ","東S","27.4","09/17 23:25","-1","-2.1%","6,000","166千円","73億円","29.2倍","1.3倍"
"値下がり","13","NEW","","6030","アドベンチ","東G","1,714.0","09/17 18:05","-37","-2.1%","400","686千円","123億円","11.2倍","1.4倍"
"値下がり","14","NEW","","4493","サイバーセ","東G","1,940.0","09/17 22:38","-40","-2.0%","800","1,588千円","196億円","22.7倍","4.3倍"
"値下がり","15","NEW","","3777","環境フレン","東G","44.1","09/17 23:57","-1","-2.0%","28,600","1,264千円","159億円","-","2.9倍"
"値下がり","16","NEW","","9130","共栄タンカ","東S","1,870.0","09/17 22:59","-38","-2.0%","3,000","5,666千円","143億円","3.9倍","0.5倍"
"値下がり","17","NEW","","6731","ピクセラ","東S","99.0","09/17 23:38","-2","-2.0%","35,000","3,405千円","16億円","-","3.7倍"
"値下がり","18","↓3","15","8107","キムラタン","東S","30.4","09/17 23:04","-1","-1.9%","8,600","261千円","84億円","334.8倍","5.2倍"
"値下がり","19","NEW","","9788","ナック","東P","510.0","09/17 18:45","-10","-1.9%","200","102千円","206億円","12.1倍","1.0倍"
"値下がり","20","NEW","","2404","鉄人化HD","東S","525.0","09/17 20:01","-10","-1.9%","400","210千円","70億円","17.1倍","6.7倍"
"値下がり","21","NEW","","6786","RVH","東S","48.1","09/17 22:07","-1","-1.8%","400","19千円","12億円","-","1.6倍"
"値下がり","22","NEW","","2338","クオンタム","東S","112.0","09/17 23:25","-2","-1.8%","35,800","3,997千円","55億円","-","-"
"値下がり","23","NEW","","6433","ヒーハイス","東S","1,303.0","09/17 23:59","-22","-1.7%","10,200","13,403千円","81億円","88.3倍","3.9倍"
"値下がり","24","NEW","","4582","シンバイオ","東G","54.1","09/17 23:12","-1","-1.6%","6,800","368千円","41億円","-","-"
"値下がり","25","NEW","","4422","VALUE","東G","495.0","09/17 17:34","-8","-1.6%","600","297千円","42億円","-","5.0倍"
"値下がり","26","NEW","","9878","セキド","東S","385.0","09/17 17:48","-6","-1.5%","200","77千円","12億円","620.2倍","-"
"値下がり","27","NEW","","2315","CAICA","東S","65.0","09/17 23:20","-1","-1.5%","13,000","844千円","112億円","123.1倍","2.0倍"
"値下がり","28","NEW","","7603","ジーイエッ","東S","34.5","09/17 23:00","-1","-1.4%","7,000","240千円","26億円","2.9倍","0.8倍"
"値下がり","29","NEW","","4760","アルファ","東S","1,195.0","09/17 22:07","-17","-1.4%","2,600","3,091千円","10億円","7.4倍","0.7倍"
"値下がり","30","NEW","","4499","Speee","東S","2,189.4","09/17 23:56","-31","-1.4%","1,600","3,567千円","253億円","-","3.8倍"
