区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","7740","タムロン","東P","1,434.0","07/29 23:53","+300","+26.5%","40,400","56,527千円","2,312億円","-","2.7倍"
"値上がり","2","NEW","","7864","フジシール","東P","3,850.0","07/29 19:43","+700","+22.2%","200","770千円","2,054億円","13.4倍","1.3倍"
"値上がり","3","NEW","","4461","第一工業製","東P","10,330.0","07/29 22:18","+1,500","+17.0%","4,600","47,518千円","1,096億円","-","2.0倍"
"値上がり","4","NEW","","6349","小森コーポ","東P","1,950.0","07/29 23:41","+277","+16.6%","11,800","22,280千円","1,035億円","14.4倍","0.8倍"
"値上がり","5","NEW","","6524","湖北工業","東S","4,230.0","07/29 23:32","+385","+10.0%","9,400","39,306千円","1,096億円","31.0倍","4.6倍"
"値上がり","6","NEW","","6573","CRAVI","東G","29.7","07/29 23:58","+3","+10.0%","1,952,800","61,140千円","10億円","-","3.2倍"
"値上がり","7","NEW","","6857","アドバンテ","東P","27,600.0","07/29 23:57","+2,400","+9.5%","143,600","4,026,594千円","199,815億円","30.3倍","19.2倍"
"値上がり","8","NEW","","2760","東京エレク","東P","3,750.0","07/29 23:58","+280","+8.1%","22,000","83,438千円","1,106億円","11.8倍","2.1倍"
"値上がり","9","NEW","","1418","インターラ","東S","650.0","07/29 21:58","+46","+7.6%","1,000","650千円","99億円","12.4倍","2.1倍"
"値上がり","10","NEW","","6787","メイコー","東P","19,799.0","07/29 23:49","+1,349","+7.3%","1,000","19,692千円","5,082億円","18.8倍","3.7倍"
"値上がり","11","NEW","","7995","バルカー","東P","6,360.0","07/29 23:01","+400","+6.7%","800","5,072千円","1,121億円","12.9倍","2.0倍"
"値上がり","12","NEW","","6042","ニッキ","東S","4,200.0","07/29 23:13","+260","+6.6%","600","2,520千円","78億円","10.5倍","0.6倍"
"値上がり","13","NEW","","4971","メック","東P","7,800.0","07/29 23:06","+460","+6.3%","400","3,038千円","1,424億円","25.7倍","4.5倍"
"値上がり","14","NEW","","6327","北川精機","東S","2,845.7","07/29 23:57","+167","+6.2%","8,800","24,580千円","232億円","38.1倍","4.1倍"
"値上がり","15","NEW","","1961","三機工業","東P","2,331.8","07/29 20:28","+129","+5.8%","1,400","3,137千円","3,562億円","14.1倍","2.9倍"
"値上がり","16","NEW","","6495","宮入バルブ","東S","126.3","07/29 23:22","+6","+5.2%","2,800","346千円","61億円","76.0倍","1.5倍"
"値上がり","17","NEW","","7709","クボテック","東S","39.9","07/29 21:05","+2","+5.0%","800","31千円","5億円","-","9.8倍"
"値上がり","18","NEW","","9227","マイクロ波","東G","967.0","07/29 23:58","+45","+4.9%","42,000","39,873千円","0億円","-","57.1倍"
"値上がり","19","NEW","","150A","JSH","東G","474.9","07/29 22:34","+21","+4.6%","1,600","747千円","27億円","67.3倍","1.4倍"
"値上がり","20","NEW","","6701","日本電気","東P","4,817.5","07/29 23:58","+205","+4.4%","106,400","511,688千円","63,897億円","-","2.9倍"
"値上がり","21","NEW","","9270","バリュエン","東G","1,916.6","07/29 17:58","+79","+4.3%","400","767千円","253億円","8.4倍","2.4倍"
"値上がり","22","NEW","","6622","ダイヘン","東P","12,400.0","07/29 23:44","+500","+4.2%","2,000","24,846千円","2,927億円","17.7倍","1.9倍"
"値上がり","23","NEW","","3997","トレードワ","東S","385.0","07/29 23:54","+15","+4.1%","13,600","5,268千円","158億円","52.7倍","5.9倍"
"値上がり","24","NEW","","6632","JVCケン","東P","1,185.0","07/29 23:05","+46","+4.0%","600","712千円","1,675億円","11.2倍","1.2倍"
"値上がり","25","NEW","","9166","GENDA","東G","610.0","07/29 23:53","+23","+3.9%","42,200","25,812千円","1,121億円","-","1.7倍"
"値上がり","26","↓3","23","218A","Liber","東G","1,043.0","07/29 23:54","+39","+3.9%","8,600","9,076千円","205億円","-","30.1倍"
"値上がり","27","NEW","","1946","トーエネッ","東P","2,068.0","07/29 23:53","+75","+3.8%","11,000","22,752千円","1,933億円","10.7倍","1.2倍"
"値上がり","28","NEW","","6266","タツモ","東P","3,750.0","07/29 22:18","+135","+3.7%","400","1,493千円","543億円","21.7倍","2.1倍"
"値上がり","29","NEW","","6871","日本マイク","東P","11,651.0","07/29 23:58","+401","+3.6%","10,000","119,026千円","4,516億円","-","6.1倍"
"値上がり","30","NEW","","7018","内海造船","東S","10,240.0","07/29 23:35","+350","+3.5%","200","2,048千円","174億円","17.4倍","1.3倍"
"値下がり","1","NEW","","8309","三井住友ト","東P","1,701.0","07/29 23:13","-5,141","-75.1%","10,400","17,798千円","11,856億円","3.1倍","0.3倍"
"値下がり","2","NEW","","2163","アルトナー","東P","981.0","07/29 23:32","-1,035","-51.3%","600","593千円","104億円","8.3倍","2.0倍"
"値下がり","3","NEW","","3193","エターナル","東P","1,460.0","07/29 22:28","-1,489","-50.5%","4,400","6,397千円","168億円","8.0倍","1.6倍"
"値下がり","4","NEW","","3930","はてな","東G","932.0","07/29 23:57","-208","-18.2%","33,800","31,080千円","28億円","-","1.3倍"
"値下がり","5","NEW","","6526","ソシオネク","東P","1,680.1","07/29 23:58","-343","-17.0%","571,600","957,759千円","2,947億円","29.5倍","2.3倍"
"値下がり","6","NEW","","6577","ベストワン","東G","2,101.2","07/29 23:44","-288","-12.0%","4,400","9,335千円","32億円","13.0倍","3.0倍"
"値下がり","7","NEW","","2424","ブラス","東S","562.3","07/29 22:10","-72","-11.3%","200","112千円","30億円","9.5倍","0.7倍"
"値下がり","8","NEW","","211A","カドス･コ","東S","3,510.0","07/29 18:40","-360","-9.3%","400","1,404千円","35億円","11.0倍","0.8倍"
"値下がり","9","NEW","","6040","日本スキー","東G","480.0","07/29 18:05","-46","-8.7%","200","96千円","221億円","8.9倍","2.2倍"
"値下がり","10","NEW","","7097","さくらさく","東G","2,739.0","07/29 23:07","-250","-8.4%","200","548千円","122億円","14.9倍","1.9倍"
"値下がり","11","NEW","","5248","テクノロジ","東G","490.0","07/29 23:58","-44","-8.2%","7,400","3,596千円","83億円","-","5.9倍"
"値下がり","12","NEW","","9474","ゼンリン","東P","882.5","07/29 23:57","-74","-7.7%","33,000","29,302千円","471億円","18.8倍","1.0倍"
"値下がり","13","NEW","","6807","日本航空電","東P","2,284.0","07/29 23:48","-178","-7.2%","3,600","8,164千円","1,540億円","25.7倍","1.1倍"
"値下がり","14","NEW","","6634","JNG","東S","64.1","07/29 19:14","-5","-7.1%","2,000","128千円","30億円","26.7倍","1.2倍"
"値下がり","15","NEW","","5906","エムケー精","東S","745.0","07/29 23:10","-56","-7.0%","3,800","2,812千円","104億円","6.9倍","0.5倍"
"値下がり","16","NEW","","6535","アイモバイ","東P","506.0","07/29 23:35","-38","-7.0%","44,400","22,198千円","284億円","9.1倍","1.7倍"
"値下がり","17","NEW","","4936","アクシージ","東S","329.0","07/29 22:55","-23","-6.5%","19,000","6,113千円","75億円","-","1.0倍"
"値下がり","18","NEW","","4934","プレミアア","東G","582.1","07/29 23:26","-39","-6.3%","3,800","2,215千円","51億円","16.9倍","0.7倍"
"値下がり","19","NEW","","4179","ジーネクス","東G","320.0","07/29 23:33","-20","-5.9%","9,200","2,970千円","17億円","-","22.8倍"
"値下がり","20","NEW","","3931","バリューゴ","東G","1,780.0","07/29 22:14","-105","-5.6%","1,000","1,767千円","32億円","29.2倍","3.1倍"
"値下がり","21","NEW","","504A","イノバセル","東G","523.0","07/29 23:53","-30","-5.4%","14,600","7,728千円","236億円","-","2.3倍"
"値下がり","22","NEW","","9502","中部電力","東P","2,667.0","07/29 23:49","-149","-5.3%","20,800","55,436千円","20,146億円","12.6倍","0.6倍"
"値下がり","23","NEW","","3418","バルニバー","東G","1,076.0","07/29 23:42","-60","-5.3%","5,800","6,252千円","116億円","26.3倍","1.9倍"
"値下がり","24","NEW","","3636","三菱総合研","東P","4,780.0","07/29 22:09","-250","-5.0%","600","2,857千円","753億円","-","1.0倍"
"値下がり","25","NEW","","3929","ソーシャル","東G","230.0","07/29 17:24","-12","-5.0%","400","92千円","27億円","8.2倍","1.5倍"
"値下がり","26","NEW","","2217","モロゾフ","東P","1,542.0","07/29 22:29","-79","-4.9%","3,000","4,621千円","309億円","40.2倍","1.6倍"
"値下がり","27","NEW","","7674","NATTY","東G","2,598.0","07/29 20:39","-127","-4.7%","1,400","3,632千円","64億円","635.7倍","4.9倍"
"値下がり","28","NEW","","7810","クロスフォ","東S","147.8","07/29 23:47","-7","-4.6%","18,800","2,778千円","25億円","70.0倍","1.3倍"
"値下がり","29","NEW","","7196","Casa","東S","742.0","07/29 23:56","-36","-4.6%","4,000","2,930千円","67億円","36.0倍","1.1倍"
"値下がり","30","NEW","","3662","エイチーム","東P","953.0","07/29 23:49","-44","-4.4%","25,800","24,527千円","177億円","29.5倍","2.0倍"
