区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","→","1","4840","トライアイ","東S","916.4","08/28 23:57","+171","+23.0%","188,200","178,653千円","80億円","51.7倍","1.7倍"
"値上がり","2","NEW","","3851","日本一ソフ","東S","1,505.0","08/28 23:57","+273","+22.2%","83,600","122,987千円","76億円","10.6倍","1.0倍"
"値上がり","3","NEW","","4420","イーソル","東S","935.0","08/28 23:54","+150","+19.1%","101,600","93,758千円","184億円","22.4倍","3.0倍"
"値上がり","4","NEW","","4075","ブレインズ","東G","1,087.0","08/28 20:10","+150","+16.0%","1,400","1,522千円","64億円","39.5倍","3.6倍"
"値上がり","5","NEW","","7630","壱番屋","東P","1,091.0","08/28 23:59","+150","+15.9%","225,000","245,352千円","1,741億円","64.0倍","5.5倍"
"値上がり","6","NEW","","593A","ティアフォ","東G","2,290.0","08/28 23:59","+291","+14.6%","1,792,800","3,998,932千円","1,055億円","-","10.8倍"
"値上がり","7","NEW","","9340","アソインタ","東S","870.0","08/28 23:12","+100","+13.0%","1,000","850千円","86億円","15.5倍","2.6倍"
"値上がり","8","NEW","","4477","BASE","東G","350.0","08/28 22:31","+34","+10.8%","8,400","2,925千円","403億円","26.9倍","2.7倍"
"値上がり","9","NEW","","2936","ベースフー","東G","300.0","08/28 21:34","+28","+10.3%","400","118千円","160億円","-","14.2倍"
"値上がり","10","NEW","","3765","ガンホー･","東P","2,720.0","08/28 23:55","+247","+10.0%","14,800","40,613千円","1,424億円","-","1.2倍"
"値上がり","11","NEW","","336A","ダイナミッ","東G","1,155.0","08/28 23:59","+104","+9.9%","278,000","307,113千円","273億円","-","4.3倍"
"値上がり","12","NEW","","5129","FIXER","東G","370.2","08/28 23:59","+28","+8.2%","481,600","184,415千円","58億円","-","2.5倍"
"値上がり","13","↓2","11","7743","シード","東S","793.2","08/28 23:56","+58","+7.9%","411,600","326,574千円","240億円","-","1.3倍"
"値上がり","14","NEW","","603A","アイ･グリ","東G","1,116.0","08/28 23:59","+78","+7.5%","128,800","140,506千円","358億円","16.7倍","4.2倍"
"値上がり","15","NEW","","6196","ストライク","東P","1,449.8","08/28 23:57","+100","+7.4%","48,400","69,080千円","835億円","14.7倍","3.9倍"
"値上がり","16","NEW","","4370","モビルス","東G","420.0","08/28 23:49","+27","+6.9%","91,400","38,099千円","26億円","-","1.9倍"
"値上がり","17","NEW","","1491","中外鑛業","東S","783.0","08/28 20:58","+45","+6.1%","200","157千円","112億円","11.2倍","1.4倍"
"値上がり","18","NEW","","5301","東海カーボ","東P","1,772.6","08/28 23:59","+91","+5.4%","10,400","18,212千円","3,587億円","16.3倍","1.1倍"
"値上がり","19","NEW","","341A","トヨコー","東G","2,180.0","08/28 23:45","+110","+5.3%","5,600","12,646千円","297億円","45.5倍","9.6倍"
"値上がり","20","NEW","","7138","TORIC","東G","187.0","08/28 23:50","+9","+5.1%","84,000","15,099千円","30億円","-","2.0倍"
"値上がり","21","NEW","","4180","Appie","東P","1,385.0","08/28 23:57","+64","+4.8%","34,400","47,275千円","1,414億円","34.3倍","3.5倍"
"値上がり","22","NEW","","3907","シリコンス","東S","2,755.0","08/28 23:59","+120","+4.6%","120,000","335,138千円","76億円","-","4.7倍"
"値上がり","23","NEW","","2354","YE DI","東S","1,565.0","08/28 23:59","+66","+4.4%","150,800","235,701千円","282億円","17.6倍","3.7倍"
"値上がり","24","↓14","10","278A","Terra","東G","22,560.0","08/28 23:57","+940","+4.3%","82,200","1,852,481千円","2,199億円","-","49.1倍"
"値上がり","25","NEW","","9658","ビジネスブ","東P","1,140.0","08/28 23:55","+46","+4.2%","4,000","4,535千円","370億円","13.0倍","1.2倍"
"値上がり","26","NEW","","4597","ソレイジア","東G","31.2","08/28 23:36","+1","+4.0%","37,600","1,172千円","85億円","-","5.9倍"
"値上がり","27","NEW","","4430","東海ソフト","東S","1,812.0","08/28 23:59","+67","+3.8%","9,600","17,156千円","87億円","9.7倍","1.3倍"
"値上がり","28","NEW","","4205","日本ゼオン","東P","2,481.0","08/28 23:57","+81","+3.4%","2,800","6,894千円","4,747億円","13.2倍","1.2倍"
"値上がり","29","NEW","","4591","リボミック","東G","96.0","08/28 23:57","+3","+3.2%","78,600","7,457千円","54億円","-","2.0倍"
"値上がり","30","NEW","","5367","ニッカトー","東S","1,230.2","08/28 23:59","+36","+3.0%","12,600","15,492千円","147億円","18.4倍","1.0倍"
"値下がり","1","NEW","","6147","ヤマザキ","東S","146.7","08/28 22:27","-48","-24.8%","400","59千円","7億円","27.1倍","0.6倍"
"値下がり","2","↑7","9","8918","ランド","東S","10.2","08/28 22:47","-1","-7.3%","23,749,800","242,361千円","157億円","11.6倍","1.6倍"
"値下がり","3","NEW","","4707","キタック","東S","339.2","08/28 23:57","-26","-7.1%","62,600","21,375千円","19億円","11.2倍","0.5倍"
"値下がり","4","NEW","","6118","アイダエン","東P","1,240.3","08/28 23:36","-78","-5.9%","23,000","28,425千円","674億円","15.7倍","0.8倍"
"値下がり","5","↑25","30","6578","コレックH","東S","450.0","08/28 17:01","-21","-4.5%","200","90千円","33億円","15.8倍","3.6倍"
"値下がり","6","NEW","","2345","HODL1","東S","102.4","08/28 17:57","-5","-4.3%","800","82千円","19億円","-","10.9倍"
"値下がり","7","NEW","","4412","サイエンス","東G","1,228.0","08/28 22:49","-55","-4.3%","1,000","1,228千円","100億円","53.0倍","6.5倍"
"値下がり","8","↓6","2","3856","Abala","東S","202.0","08/28 23:59","-9","-4.3%","129,000","26,575千円","38億円","-","0.1倍"
"値下がり","9","↑16","25","3054","ハイパー","東S","359.0","08/28 17:39","-15","-4.0%","200","72千円","35億円","14.5倍","1.1倍"
"値下がり","10","NEW","","8117","中央自動車","東S","2,194.9","08/28 23:59","-91","-4.0%","3,600","7,899千円","1,213億円","12.8倍","1.9倍"
"値下がり","11","↑4","15","3350","メタプラネ","東S","333.1","08/28 23:59","-13","-3.7%","4,929,200","1,648,337千円","4,268億円","-","1.3倍"
"値下がり","12","NEW","","8783","abc","東S","59.7","08/28 23:59","-2","-3.7%","392,000","23,901千円","17億円","0.3倍","0.4倍"
"値下がり","13","NEW","","9173","東海汽船","東S","2,712.0","08/28 19:08","-100","-3.6%","200","542千円","60億円","37.2倍","1.3倍"
"値下がり","14","NEW","","3918","PCIHD","東S","1,130.0","08/28 22:41","-41","-3.5%","800","904千円","112億円","8.9倍","1.2倍"
"値下がり","15","NEW","","3065","ライフフー","東S","1,539.2","08/28 23:51","-56","-3.5%","400","616千円","48億円","65.3倍","2.7倍"
"値下がり","16","NEW","","2370","メディネッ","東G","25.1","08/28 23:57","-1","-3.5%","42,200","1,059千円","71億円","-","2.1倍"
"値下がり","17","NEW","","206A","PRISM","東G","175.1","08/28 21:09","-6","-3.3%","1,200","210千円","65億円","-","3.5倍"
"値下がり","18","NEW","","7707","プレシジョ","東G","210.0","08/28 22:40","-7","-3.2%","1,600","336千円","58億円","19.7倍","1.4倍"
"値下がり","19","NEW","","3156","レスター","東P","5,000.0","08/28 19:09","-150","-2.9%","200","1,000千円","1,406億円","10.4倍","1.4倍"
"値下がり","20","NEW","","3189","ANAPH","東S","120.7","08/28 23:59","-3","-2.7%","97,600","11,800千円","55億円","-","0.7倍"
"値下がり","21","NEW","","3976","シャノン","東G","620.1","08/28 21:55","-17","-2.7%","400","248千円","37億円","-","2.7倍"
"値下がり","22","NEW","","6634","JNG","東S","71.1","08/28 22:25","-2","-2.6%","3,800","271千円","33億円","29.6倍","1.3倍"
"値下がり","23","NEW","","9882","イエローハ","東P","1,740.0","08/28 23:54","-45","-2.5%","200","348千円","1,477億円","12.1倍","1.2倍"
"値下がり","24","NEW","","6384","昭和真空","東S","1,660.0","08/28 20:58","-42","-2.5%","200","332千円","103億円","18.3倍","0.9倍"
"値下がり","25","NEW","","2134","北浜キャピ","東S","20.5","08/28 23:59","-1","-2.4%","421,800","8,631千円","113億円","6.3倍","2.3倍"
"値下がり","26","NEW","","542A","ビタブリッ","東G","1,076.0","08/28 17:59","-26","-2.4%","1,000","1,076千円","58億円","8.1倍","1.2倍"
"値下がり","27","NEW","","5029","サークレイ","東G","895.0","08/28 23:07","-20","-2.2%","2,000","1,777千円","39億円","11.2倍","4.6倍"
"値下がり","28","↓4","24","5131","リンカーズ","東G","127.2","08/28 23:55","-3","-2.2%","5,800","744千円","18億円","-","2.6倍"
"値下がり","29","NEW","","3810","サイバース","東S","184.0","08/28 23:59","-4","-2.1%","52,600","9,733千円","151億円","-","2.3倍"
"値下がり","30","NEW","","3418","バルニバー","東G","1,040.2","08/28 20:29","-22","-2.1%","1,400","1,462千円","112億円","122.3倍","1.9倍"
