区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","5987","オーネック","東S","2,050.0","08/10 23:27","+400","+24.2%","2,400","4,880千円","34億円","8.3倍","0.6倍"
"値上がり","2","NEW","","3173","Comin","東S","1,559.0","08/10 23:58","+300","+23.8%","25,800","37,530千円","107億円","9.7倍","1.2倍"
"値上がり","3","NEW","","6495","宮入バルブ","東S","147.8","08/10 23:59","+28","+23.2%","229,400","34,909千円","71億円","89.0倍","1.8倍"
"値上がり","4","NEW","","6862","ミナトHD","東S","2,948.0","08/10 22:55","+500","+20.4%","10,000","29,480千円","218億円","3.6倍","1.9倍"
"値上がり","5","NEW","","4381","ビープラッ","東G","474.0","08/10 23:40","+80","+20.3%","76,000","35,415千円","14億円","33.8倍","-"
"値上がり","6","NEW","","6266","タツモ","東P","4,190.0","08/10 23:53","+700","+20.1%","12,400","51,956千円","607億円","24.3倍","2.3倍"
"値上がり","7","↓5","2","6138","ダイジヱツ","東S","1,880.0","08/10 23:58","+308","+19.6%","125,600","232,829千円","56億円","6.6倍","0.6倍"
"値上がり","8","NEW","","3131","シンデン･","東S","6,160.0","08/10 23:59","+1,000","+19.4%","19,200","118,272千円","116億円","5.8倍","1.5倍"
"値上がり","9","NEW","","1960","サンテック","東S","1,685.0","08/10 23:50","+234","+16.1%","20,600","34,195千円","259億円","11.2倍","0.8倍"
"値上がり","10","NEW","","6834","精工技研","東S","23,800.0","08/10 23:59","+2,730","+13.0%","14,200","336,791千円","2,128億円","23.1倍","6.0倍"
"値上がり","11","NEW","","4052","フィーチャ","東G","707.2","08/10 23:59","+74","+11.7%","58,600","41,222千円","41億円","98.5倍","6.0倍"
"値上がり","12","↓11","1","4937","Waqoo","東G","2,165.0","08/10 23:56","+197","+10.0%","23,200","49,018千円","77億円","18.8倍","3.1倍"
"値上がり","13","NEW","","3277","サンセイラ","東S","799.0","08/10 23:43","+70","+9.6%","51,600","39,077千円","130億円","5.9倍","0.9倍"
"値上がり","14","NEW","","7906","ヨネックス","東S","2,866.0","08/10 23:53","+236","+9.0%","16,600","46,133千円","2,452億円","17.3倍","2.9倍"
"値上がり","15","NEW","","6775","TBG","東S","125.0","08/10 23:34","+10","+8.7%","200","25千円","19億円","185.4倍","3.9倍"
"値上がり","16","NEW","","9684","スクウェア","東P","3,087.0","08/10 23:59","+216","+7.5%","39,200","119,131千円","11,134億円","35.9倍","3.1倍"
"値上がり","17","NEW","","2413","エムスリー","東P","1,634.0","08/10 23:59","+96","+6.2%","90,800","146,828千円","10,906億円","20.6倍","2.7倍"
"値上がり","18","NEW","","4890","坪田ラボ","東G","285.0","08/10 19:44","+16","+5.9%","600","171千円","74億円","108.9倍","8.5倍"
"値上がり","19","NEW","","7875","竹田iPH","東S","850.0","08/10 22:09","+45","+5.6%","7,000","5,948千円","142億円","9.8倍","0.7倍"
"値上がり","20","NEW","","6189","グローバル","東S","1,077.0","08/10 23:59","+57","+5.6%","1,400","1,502千円","103億円","14.7倍","1.3倍"
"値上がり","21","NEW","","3907","シリコンス","東S","1,710.0","08/10 23:54","+80","+4.9%","19,200","32,013千円","47億円","-","2.9倍"
"値上がり","22","NEW","","4272","日本化薬","東P","2,150.8","08/10 21:31","+98","+4.8%","1,200","2,495千円","3,167億円","13.8倍","1.1倍"
"値上がり","23","NEW","","3695","GMOプロ","東G","1,555.0","08/10 21:34","+70","+4.7%","3,800","5,987千円","68億円","16.5倍","2.8倍"
"値上がり","24","NEW","","4665","ダスキン","東P","4,700.0","08/10 23:16","+206","+4.6%","6,600","30,907千円","2,213億円","20.9倍","1.4倍"
"値上がり","25","NEW","","7359","東京通信G","東G","232.0","08/10 22:55","+10","+4.5%","200","46千円","23億円","21.2倍","3.0倍"
"値上がり","26","NEW","","2656","ベクターH","東S","178.5","08/10 21:56","+8","+4.4%","15,600","2,747千円","53億円","15.7倍","5.2倍"
"値上がり","27","NEW","","7794","イーディー","東G","950.0","08/10 23:54","+39","+4.3%","600","570千円","147億円","-","8.6倍"
"値上がり","28","↓13","15","3323","レカム","東S","85.5","08/10 23:58","+4","+4.3%","114,600","9,888千円","69億円","21.6倍","1.2倍"
"値上がり","29","NEW","","4919","ミルボン","東P","3,050.0","08/10 23:17","+123","+4.2%","4,000","12,206千円","970億円","21.1倍","1.9倍"
"値上がり","30","NEW","","6570","共和コーポ","東S","2,708.0","08/10 23:13","+106","+4.1%","5,200","13,978千円","162億円","13.3倍","2.6倍"
"値下がり","1","NEW","","7135","ジャパンク","東S","175.0","08/10 23:59","-44","-20.1%","250,000","44,535千円","65億円","13.0倍","1.7倍"
"値下がり","2","NEW","","4811","ドリーム･","東G","650.0","08/10 19:11","-141","-17.8%","200","130千円","75億円","12.3倍","2.6倍"
"値下がり","3","NEW","","4422","VALUE","東G","462.0","08/10 18:00","-99","-17.6%","200","92千円","40億円","-","4.7倍"
"値下がり","4","NEW","","9337","トリドリ","東G","1,416.0","08/10 23:56","-282","-16.6%","15,800","22,299千円","47億円","10.4倍","2.6倍"
