区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","6496","中北製作所","東S","6,150.0","07/24 17:52","+1,000","+19.4%","200","1,230千円","215億円","13.4倍","0.8倍"
"値上がり","2","NEW","","3386","コスモ･バ","東S","1,320.0","07/24 23:47","+80","+6.5%","200","264千円","75億円","23.4倍","0.8倍"
"値上がり","3","NEW","","1850","南海辰村建","東S","459.0","07/24 23:42","+26","+6.0%","1,400","643千円","132億円","8.1倍","0.7倍"
"値上がり","4","NEW","","2656","ベクターH","東S","168.0","07/24 23:59","+9","+5.7%","269,200","49,303千円","50億円","14.8倍","4.9倍"
"値上がり","5","NEW","","9107","川崎汽船","東P","2,955.1","07/24 23:59","+149","+5.3%","42,400","127,048千円","18,679億円","13.8倍","1.0倍"
"値上がり","6","NEW","","2459","アウンコン","東S","193.5","07/24 23:58","+9","+4.6%","52,800","9,966千円","15億円","-","4.7倍"
"値上がり","7","NEW","","1852","淺沼組","東P","900.9","07/25 00:00","+39","+4.5%","2,200","1,965千円","727億円","14.0倍","1.5倍"
"値上がり","8","NEW","","3625","テックファ","東G","598.0","07/24 21:43","+25","+4.4%","200","120千円","43億円","12.9倍","1.4倍"
"値上がり","9","NEW","","5240","monoA","東G","220.9","07/24 23:59","+8","+3.7%","947,400","220,357千円","27億円","-","2.5倍"
"値上がり","10","NEW","","4833","Def c","東G","44.5","07/24 23:59","+2","+3.5%","1,810,800","84,716千円","32億円","-","1.3倍"
"値上がり","11","NEW","","9104","商船三井","東P","6,040.0","07/25 00:00","+197","+3.4%","18,200","109,451千円","20,753億円","12.2倍","0.7倍"
"値上がり","12","NEW","","8894","REVOL","東S","24.8","07/24 23:59","+1","+3.3%","26,400","645千円","37億円","-","4.6倍"
"値上がり","13","↑11","24","6574","コンヴァノ","東G","89.7","07/24 22:54","+3","+3.1%","4,400","386千円","447億円","7.7倍","4.1倍"
"値上がり","14","NEW","","6629","テクノホラ","東S","1,062.0","07/24 23:58","+31","+3.0%","150,800","163,960千円","143億円","8.4倍","1.2倍"
"値上がり","15","NEW","","8700","丸八証券","東S","2,044.0","07/24 17:56","+57","+2.9%","200","409千円","83億円","-","-"
"値上がり","16","NEW","","6269","三井海洋開","東P","10,800.0","07/24 23:39","+300","+2.9%","6,400","69,126千円","7,381億円","12.7倍","3.0倍"
"値上がり","17","NEW","","3912","モバイルフ","東S","1,080.0","07/24 18:59","+30","+2.9%","600","648千円","70億円","-","2.8倍"
"値上がり","18","NEW","","9353","櫻島埠頭","東S","3,040.0","07/24 23:37","+80","+2.7%","400","1,198千円","46億円","17.8倍","0.5倍"
"値上がり","19","NEW","","6330","東洋エンジ","東P","1,934.0","07/24 23:59","+50","+2.7%","79,200","152,785千円","1,013億円","16.9倍","2.3倍"
"値上がり","20","NEW","","2998","クリアル","東G","508.0","07/24 21:59","+13","+2.6%","1,600","789千円","183億円","8.7倍","1.6倍"
"値上がり","21","NEW","","4751","サイバーエ","東P","1,441.0","07/24 23:37","+37","+2.6%","14,000","20,064千円","7,307億円","26.6倍","3.8倍"
"値上がり","22","NEW","","1944","きんでん","東P","7,660.8","07/24 22:10","+187","+2.5%","1,000","7,692千円","15,167億円","21.7倍","2.3倍"
"値上がり","23","NEW","","5541","大平洋金属","東P","2,382.0","07/24 21:15","+58","+2.5%","400","941千円","414億円","262.1倍","0.7倍"
"値上がり","24","NEW","","9602","東宝","東P","1,482.0","07/25 00:00","+36","+2.5%","28,600","42,179千円","12,328億円","30.1倍","2.5倍"
"値上がり","25","NEW","","2428","ウェルネッ","東S","650.0","07/24 20:30","+15","+2.4%","200","130千円","123億円","12.3倍","1.4倍"
"値上がり","26","NEW","","4881","ファンペッ","東G","66.5","07/24 23:38","+2","+2.3%","600","40千円","30億円","-","1.9倍"
"値上がり","27","NEW","","3133","海帆","東G","86.9","07/24 23:52","+2","+2.2%","57,400","4,942千円","51億円","-","20.7倍"
"値上がり","28","↓7","21","4597","ソレイジア","東G","28.6","07/24 23:52","+1","+2.1%","71,800","2,052千円","78億円","-","4.6倍"
"値上がり","29","↓6","23","6573","CRAVI","東G","28.6","07/24 23:51","+1","+2.1%","3,800","108千円","10億円","-","3.1倍"
"値上がり","30","NEW","","5287","イトーヨー","東S","820.0","07/24 21:54","+17","+2.1%","200","164千円","24億円","12.1倍","0.6倍"
"値下がり","1","↑5","6","5103","昭和HD","東S","12.3","07/24 23:59","-5","-27.6%","4,494,400","58,662千円","9億円","-","0.9倍"
"値下がり","2","NEW","","2693","YKT","東S","342.0","07/24 23:57","-57","-14.3%","205,600","70,308千円","40億円","79.4倍","0.5倍"
"値下がり","3","NEW","","4078","堺化学工業","東P","3,650.0","07/24 18:26","-445","-10.9%","200","730千円","559億円","12.7倍","0.7倍"
"値下がり","4","NEW","","8918","ランド","東S","10.1","07/24 23:37","-1","-8.2%","98,425,200","994,428千円","155億円","11.5倍","1.6倍"
"値下がり","5","NEW","","4972","綜研化学","東S","3,599.5","07/24 20:48","-196","-5.2%","2,200","8,083千円","597億円","13.9倍","1.4倍"
"値下がり","6","NEW","","1964","中外爐工業","東P","3,921.0","07/24 23:51","-209","-5.1%","7,200","27,683千円","274億円","10.9倍","0.9倍"
"値下がり","7","NEW","","2970","GLC G","東S","878.0","07/24 17:31","-46","-5.0%","800","702千円","146億円","10.4倍","2.5倍"
"値下がり","8","NEW","","6858","小野測器","東S","833.0","07/24 23:59","-43","-4.9%","57,400","47,683千円","86億円","10.8倍","0.5倍"
"値下がり","9","NEW","","7837","アールシー","東S","346.0","07/24 22:15","-17","-4.7%","1,000","346千円","14億円","2.8倍","0.9倍"
"値下がり","10","NEW","","8060","キヤノンマ","東P","3,415.0","07/24 23:53","-159","-4.4%","22,400","76,032千円","7,035億円","16.0倍","1.8倍"
"値下がり","11","NEW","","6653","正興電機製","東P","2,125.0","07/24 23:57","-93","-4.2%","53,400","115,168千円","288億円","11.5倍","1.5倍"
"値下がり","12","↓9","3","9256","サクシード","東G","2,035.3","07/24 23:59","-85","-4.0%","70,800","143,203千円","73億円","28.0倍","2.8倍"
"値下がり","13","NEW","","4424","Amazi","東G","364.1","07/24 23:36","-15","-3.9%","7,600","2,795千円","24億円","-","3.2倍"
"値下がり","14","↓13","1","1382","ホーブ","東S","1,000.0","07/24 21:47","-40","-3.8%","200","200千円","8億円","42.3倍","1.0倍"
"値下がり","15","NEW","","9973","KOZOH","東S","20.2","07/24 23:36","-1","-3.8%","193,000","3,907千円","60億円","114.4倍","10.7倍"
"値下がり","16","NEW","","3996","サインポス","東S","192.0","07/24 17:33","-7","-3.5%","600","114千円","25億円","27.6倍","1.3倍"
"値下がり","17","NEW","","4564","オンコセラ","東G","20.3","07/24 23:56","-1","-3.3%","160,600","3,254千円","78億円","-","3.8倍"
"値下がり","18","NEW","","6306","日工","東P","928.1","07/24 23:48","-32","-3.3%","9,600","8,911千円","358億円","13.5倍","1.0倍"
"値下がり","19","NEW","","3691","デジタルプ","東G","1,537.0","07/24 20:43","-47","-3.0%","600","922千円","67億円","-","8.3倍"
