区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","7957","フジコピア","東S","2,890.0","08/12 23:28","+500","+20.9%","23,200","66,954千円","45億円","3.6倍","0.5倍"
"値上がり","2","NEW","","4255","THECO","東G","3,199.0","08/12 17:01","+500","+18.5%","600","1,919千円","67億円","26.9倍","10.0倍"
"値上がり","3","↑1","4","6862","ミナトHD","東S","3,448.0","08/12 22:27","+500","+17.0%","10,200","35,170千円","255億円","4.3倍","2.2倍"
"値上がり","4","NEW","","6522","アスタリス","東G","2,081.0","08/12 23:59","+287","+16.0%","429,800","892,788千円","167億円","257.6倍","8.8倍"
"値上がり","5","↑20","25","7359","東京通信G","東G","261.0","08/12 23:55","+35","+15.5%","21,000","5,441千円","26億円","23.9倍","2.9倍"
"値上がり","6","NEW","","6265","コンバム","東S","4,020.0","08/12 22:58","+520","+14.9%","3,600","14,479千円","62億円","21.8倍","1.0倍"
"値上がり","7","NEW","","146A","コロンビア","東S","3,719.0","08/12 23:59","+414","+12.5%","18,000","66,761千円","285億円","6.8倍","1.5倍"
"値上がり","8","NEW","","2342","トランスジ","東S","259.9","08/12 23:54","+29","+12.5%","79,200","20,725千円","43億円","28.9倍","0.9倍"
"値上がり","9","NEW","","6287","サトー","東P","2,922.0","08/12 22:20","+317","+12.2%","2,200","6,354千円","949億円","12.3倍","1.1倍"
"値上がり","10","↑1","11","4052","フィーチャ","東G","820.0","08/12 23:55","+87","+11.9%","76,200","63,083千円","48億円","114.2倍","6.9倍"
"値上がり","11","NEW","","4222","児玉化学工","東S","691.5","08/12 23:59","+71","+11.4%","150,200","103,169千円","108億円","7.7倍","0.4倍"
"値上がり","12","NEW","","7911","TOPPA","東P","5,470.0","08/12 23:58","+552","+11.2%","26,600","141,407千円","15,348億円","27.9倍","1.1倍"
"値上がり","13","↓5","8","3131","シンデン･","東S","6,810.0","08/12 23:59","+650","+10.6%","56,200","387,930千円","128億円","6.4倍","1.6倍"
"値上がり","14","NEW","","6616","トレックス","東P","2,245.0","08/12 23:54","+205","+10.0%","25,000","56,820千円","238億円","14.9倍","1.2倍"
"値上がり","15","→","15","6775","TBG","東S","125.0","08/12 18:42","+9","+7.8%","200","25千円","19億円","185.4倍","3.9倍"
"値上がり","16","NEW","","5870","ナルネット","東G","888.1","08/12 22:28","+63","+7.6%","11,600","10,227千円","47億円","9.2倍","1.2倍"
"値上がり","17","NEW","","7059","コプロ･H","東P","875.0","08/12 23:59","+61","+7.5%","29,800","25,970千円","335億円","20.2倍","3.6倍"
"値上がり","18","NEW","","3932","アカツキ","東P","3,450.0","08/12 21:55","+220","+6.8%","1,400","4,681千円","415億円","-","1.1倍"
"値上がり","19","NEW","","6871","日本マイク","東P","14,880.0","08/12 23:58","+930","+6.7%","60,600","892,178千円","5,769億円","25.1倍","6.3倍"
"値上がり","20","NEW","","8789","フィンテッ","東S","147.1","08/12 23:58","+9","+6.6%","504,400","73,294千円","283億円","6.2倍","1.9倍"
"値上がり","21","NEW","","9466","アイドママ","東S","237.0","08/12 23:48","+13","+5.8%","13,800","3,309千円","31億円","14.8倍","0.9倍"
"値上がり","22","NEW","","3494","マリオン","東S","470.0","08/12 23:51","+25","+5.6%","600","280千円","37億円","13.2倍","0.7倍"
"値上がり","23","↓18","5","4381","ビープラッ","東G","500.0","08/12 23:59","+26","+5.5%","264,400","134,561千円","15億円","35.7倍","-"
"値上がり","24","NEW","","1435","robot","東S","174.8","08/12 23:55","+9","+5.3%","65,400","11,407千円","155億円","7.8倍","1.4倍"
"値上がり","25","NEW","","6976","太陽誘電","東P","10,804.0","08/12 23:59","+539","+5.3%","112,800","1,188,991千円","14,073億円","48.5倍","3.8倍"
"値上がり","26","NEW","","6327","北川精機","東S","3,730.0","08/12 23:57","+180","+5.1%","13,000","47,413千円","305億円","49.9倍","5.4倍"
"値上がり","27","↓26","1","5987","オーネック","東S","2,150.0","08/12 22:36","+100","+4.9%","9,400","20,439千円","36億円","8.7倍","0.6倍"
"値上がり","28","NEW","","7918","ヴィア･H","東S","110.0","08/12 23:27","+5","+4.8%","19,200","2,124千円","50億円","167.3倍","3.9倍"
"値上がり","29","NEW","","147A","ソラコム","東G","1,180.0","08/12 23:54","+53","+4.7%","8,800","10,399千円","540億円","76.5倍","4.8倍"
"値上がり","30","NEW","","4043","トクヤマ","東P","4,225.0","08/12 23:44","+185","+4.6%","5,800","24,494千円","3,040億円","11.7倍","1.1倍"
"値下がり","1","NEW","","9536","西部ガスH","東P","1,861.0","08/12 23:53","-500","-21.2%","600","1,117千円","670億円","8.4倍","0.5倍"
"値下がり","2","NEW","","5858","STG","東G","1,127.0","08/12 23:41","-209","-15.6%","9,600","10,729千円","24億円","8.3倍","0.7倍"
"値下がり","3","NEW","","3719","AIストー","東S","116.4","08/12 23:59","-21","-15.0%","567,200","66,761千円","35億円","14.5倍","1.3倍"
"値下がり","4","NEW","","4419","Finat","東G","1,406.0","08/12 23:59","-244","-14.8%","205,400","283,422千円","730億円","31.4倍","6.6倍"
"値下がり","5","NEW","","6335","東京機械製","東S","596.0","08/12 22:52","-100","-14.4%","32,800","19,699千円","47億円","8.4倍","0.5倍"
"値下がり","6","NEW","","5599","S&amp;J","東G","985.0","08/12 23:59","-155","-13.6%","11,600","11,312千円","55億円","13.5倍","2.6倍"
"値下がり","7","NEW","","5029","サークレイ","東G","760.0","08/12 23:14","-100","-11.6%","7,400","5,451千円","33億円","9.5倍","3.9倍"
"値下がり","8","NEW","","6666","リバーエレ","東S","765.0","08/12 23:59","-86","-10.1%","11,200","8,650千円","63億円","3,148.0倍","1.4倍"
"値下がり","9","NEW","","4240","クラスター","東S","315.0","08/12 23:57","-35","-10.0%","12,400","3,874千円","18億円","39.0倍","1.0倍"
"値下がり","10","NEW","","4259","エクサウィ","東G","761.6","08/12 23:47","-80","-9.5%","176,000","134,444千円","726億円","-","7.2倍"
"値下がり","11","NEW","","3306","日本製麻","東S","570.0","08/12 17:33","-59","-9.4%","200","114千円","25億円","-","1.2倍"
