区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","5103","昭和HD","東S","1.2","08/21 23:59","0","+20.0%","40,296,400","54,674千円","1億円","-","0.1倍"
"値上がり","2","NEW","","6264","マルマエ","東P","2,277.0","08/21 23:59","+232","+11.3%","54,600","122,867千円","639億円","19.4倍","4.2倍"
"値上がり","3","NEW","","8783","abc","東S","73.2","08/21 23:59","+7","+10.9%","745,200","53,495千円","21億円","0.3倍","0.5倍"
"値上がり","4","NEW","","3189","ANAPH","東S","173.6","08/21 23:59","+11","+6.5%","1,015,800","180,210千円","79億円","-","1.1倍"
"値上がり","5","NEW","","6085","アーキテク","東G","129.1","08/21 23:59","+7","+5.8%","575,800","73,597千円","148億円","389.8倍","-"
"値上がり","6","NEW","","9692","シーイーシ","東P","2,519.0","08/21 20:26","+124","+5.2%","2,600","6,562千円","786億円","13.3倍","1.8倍"
"値上がり","7","NEW","","4196","ネオマーケ","東S","2,100.0","08/21 21:02","+101","+5.1%","200","420千円","52億円","52.1倍","6.4倍"
"値上がり","8","NEW","","4891","ティムス","東G","115.0","08/21 22:47","+5","+4.5%","3,600","406千円","53億円","-","2.2倍"
"値上がり","9","NEW","","4376","くふうカン","東G","169.0","08/21 21:11","+7","+4.3%","400","68千円","102億円","-","1.2倍"
"値上がり","10","NEW","","6775","TBG","東S","122.0","08/21 17:04","+5","+4.3%","200","24千円","18億円","180.9倍","3.8倍"
"値上がり","11","NEW","","7063","Birdm","東G","101.0","08/21 22:46","+4","+4.1%","41,400","4,148千円","34億円","28.6倍","4.7倍"
"値上がり","12","↑2","14","3350","メタプラネ","東S","317.0","08/21 23:59","+11","+3.6%","10,212,800","3,316,076千円","4,062億円","-","1.2倍"
"値上がり","13","NEW","","5721","エスクリプ","東S","59.0","08/21 23:59","+2","+3.5%","822,800","49,742千円","105億円","-","2.3倍"
"値上がり","14","NEW","","373A","リップス","東G","1,513.0","08/21 23:50","+51","+3.5%","600","908千円","39億円","8.0倍","1.0倍"
"値上がり","15","NEW","","7762","シチズン時","東P","2,600.0","08/21 21:47","+71","+2.8%","6,400","16,471千円","6,344億円","19.8倍","2.1倍"
"値上がり","16","→","16","6347","プラコー","東S","260.0","08/21 19:05","+7","+2.8%","800","229千円","25億円","25.0倍","1.6倍"
"値上がり","17","NEW","","7380","十六フィナ","東P","2,580.0","08/21 22:20","+68","+2.7%","200","516千円","4,569億円","15.2倍","0.9倍"
"値上がり","18","NEW","","8341","七十七銀行","東P","3,821.0","08/21 23:04","+85","+2.3%","1,600","6,043千円","8,529億円","13.9倍","1.1倍"
"値上がり","19","NEW","","6963","ローム","東P","4,799.9","08/21 23:58","+101","+2.1%","15,400","74,346千円","18,529億円","63.9倍","2.4倍"
"値上がり","20","NEW","","6875","メガチップ","東P","11,062.0","08/21 17:14","+232","+2.1%","200","2,212千円","1,557億円","4.7倍","0.5倍"
"値上がり","21","NEW","","7603","ジーイエッ","東S","49.0","08/21 23:59","+1","+2.1%","517,800","25,461千円","37億円","4.1倍","1.2倍"
"値上がり","22","NEW","","4290","プレステー","東P","751.0","08/21 23:38","+15","+2.0%","3,000","2,240千円","937億円","15.8倍","1.9倍"
"値上がり","23","NEW","","6523","PHCHD","東P","1,500.0","08/21 23:16","+27","+1.8%","1,200","1,791千円","1,907億円","12.4倍","1.1倍"
"値上がり","24","NEW","","9722","藤田観光","東P","2,699.0","08/21 23:52","+48","+1.8%","2,000","5,346千円","1,618億円","12.9倍","3.8倍"
"値上がり","25","NEW","","6330","東洋エンジ","東P","2,370.0","08/21 23:58","+42","+1.8%","11,000","25,927千円","1,389億円","23.1倍","3.0倍"
"値上がり","26","NEW","","3168","MERF","東S","1,468.0","08/21 22:49","+26","+1.8%","1,000","1,464千円","208億円","7.4倍","1.7倍"
"値上がり","27","NEW","","4563","アンジェス","東G","39.7","08/21 23:38","+1","+1.8%","376,400","14,836千円","158億円","-","124.8倍"
"値上がり","28","↓6","22","5857","AREHD","東P","3,980.0","08/21 23:58","+70","+1.8%","3,600","14,331千円","3,421億円","11.8倍","1.5倍"
"値上がり","29","NEW","","8706","極東証券","東P","1,934.0","08/21 18:55","+34","+1.8%","200","387千円","609億円","-","1.2倍"
"値上がり","30","NEW","","2341","アルバイト","東S","175.0","08/21 18:33","+3","+1.7%","200","35千円","32億円","23.0倍","1.1倍"
"値下がり","1","NEW","","192A","インテG","東G","980.0","08/21 21:36","-249","-20.3%","600","588千円","21億円","9.8倍","1.1倍"
"値下がり","2","NEW","","6448","ブラザー工","東P","4,165.0","08/21 17:01","-443","-9.6%","200","833千円","10,302億円","13.3倍","1.3倍"
"値下がり","3","NEW","","9347","日本管財H","東P","2,662.9","08/21 17:32","-226","-7.8%","200","533千円","967億円","13.2倍","1.3倍"
"値下がり","4","NEW","","3069","JFLAH","東S","159.2","08/21 19:46","-8","-4.7%","200","32千円","77億円","-","0.9倍"
"値下がり","5","NEW","","8518","日本アジア","東S","133.0","08/21 18:55","-6","-4.3%","400","53千円","37億円","-","0.5倍"
"値下がり","6","NEW","","2222","寿スピリッ","東P","2,567.5","08/21 17:32","-113","-4.2%","200","514千円","3,965億円","28.7倍","8.8倍"
"値下がり","7","NEW","","8894","REVOL","東S","22.1","08/21 23:36","-1","-3.9%","30,600","679千円","33億円","-","4.1倍"
"値下がり","8","NEW","","2498","オリエンタ","東S","3,185.0","08/21 23:54","-125","-3.8%","9,600","30,129千円","381億円","9.5倍","1.2倍"
"値下がり","9","NEW","","4833","Def c","東G","68.0","08/21 23:59","-2","-2.9%","2,142,200","153,174千円","49億円","3.7倍","2.6倍"
"値下がり","10","NEW","","4381","ビープラッ","東G","345.3","08/21 23:59","-10","-2.7%","45,400","15,720千円","10億円","24.6倍","-"
"値下がり","11","NEW","","6379","レイズネク","東P","3,100.0","08/21 23:54","-80","-2.5%","200","620千円","1,674億円","18.6倍","1.9倍"
"値下がり","12","NEW","","3810","サイバース","東S","237.0","08/21 23:58","-6","-2.5%","51,000","12,162千円","194億円","-","3.0倍"
"値下がり","13","NEW","","9322","川西倉庫","東S","2,415.0","08/21 23:44","-60","-2.4%","1,200","2,898千円","186億円","28.6倍","0.9倍"
"値下がり","14","NEW","","9557","エアークロ","東G","205.0","08/21 19:43","-5","-2.4%","2,600","533千円","17億円","62.9倍","5.8倍"
"値下がり","15","NEW","","3823","THE W","東S","30.3","08/21 23:55","-1","-2.3%","117,000","3,537千円","44億円","-","2.9倍"
"値下がり","16","NEW","","7717","ブイ･テク","東P","5,302.0","08/21 23:36","-118","-2.2%","600","3,188千円","501億円","16.7倍","1.3倍"
"値下がり","17","NEW","","3803","イメージ情","東G","543.0","08/21 22:28","-12","-2.2%","400","217千円","18億円","-","3.0倍"
"値下がり","18","NEW","","7138","TORIC","東G","188.9","08/21 23:59","-4","-2.1%","971,600","191,720千円","30億円","-","2.1倍"
"値下がり","19","NEW","","8995","誠建設工業","東S","1,511.0","08/21 23:59","-32","-2.1%","1,600","2,430千円","30億円","43.4倍","0.7倍"
"値下がり","20","NEW","","4392","FIG","東P","1,108.9","08/21 23:59","-23","-2.0%","96,000","107,807千円","390億円","57.3倍","3.5倍"
"値下がり","21","NEW","","296A","令和アカウ","東G","1,065.0","08/21 23:59","-22","-2.0%","180,800","202,016千円","398億円","27.7倍","17.7倍"
"値下がり","22","NEW","","2307","クロスキャ","東P","1,065.0","08/21 17:46","-22","-2.0%","200","213千円","149億円","9.7倍","2.3倍"
"値下がり","23","NEW","","8105","Bitco","東S","94.1","08/21 23:57","-2","-2.0%","398,000","37,492千円","66億円","-","1.3倍"
"値下がり","24","NEW","","2370","メディネッ","東G","25.5","08/21 23:52","-1","-1.9%","20,600","523千円","72億円","-","2.1倍"
"値下がり","25","NEW","","6557","AIAIG","東G","770.0","08/21 17:24","-15","-1.9%","600","462千円","50億円","7.1倍","1.4倍"
"値下がり","26","NEW","","7836","アビックス","東S","77.5","08/21 20:00","-2","-1.9%","1,000","78千円","27億円","15.6倍","1.4倍"
"値下がり","27","NEW","","7067","ブランディ","東G","1,030.0","08/21 23:07","-19","-1.8%","1,600","1,631千円","16億円","25.1倍","1.3倍"
"値下がり","28","NEW","","5892","yutor","東G","2,411.0","08/21 18:39","-44","-1.8%","200","482千円","132億円","16.4倍","6.8倍"
"値下がり","29","NEW","","7078","INCLU","東G","344.8","08/21 22:46","-6","-1.8%","400","138千円","35億円","-","2.4倍"
"値下がり","30","NEW","","6866","日置電機","東P","10,580.0","08/21 21:32","-190","-1.8%","200","2,116千円","1,418億円","18.8倍","3.1倍"
