区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","3676","デジタルハ","東P","903.0","08/06 20:04","+150","+19.9%","6,000","5,418千円","201億円","10.9倍","2.0倍"
"値上がり","2","NEW","","3422","J‐MAX","東S","603.0","08/06 23:58","+100","+19.9%","16,600","9,936千円","69億円","6.9倍","0.3倍"
"値上がり","3","NEW","","4234","サンエー化","東S","942.0","08/06 23:59","+150","+18.9%","49,200","46,346千円","91億円","5.7倍","0.4倍"
"値上がり","4","NEW","","7872","エステール","東S","708.0","08/06 19:15","+100","+16.4%","400","243千円","74億円","17.3倍","0.6倍"
"値上がり","5","NEW","","3841","ジーダット","東S","1,500.0","08/06 19:58","+205","+15.8%","200","300千円","58億円","27.5倍","1.6倍"
"値上がり","6","NEW","","5711","三菱マテリ","東P","5,157.0","08/06 23:55","+700","+15.7%","61,400","316,640千円","6,743億円","4.8倍","0.9倍"
"値上がり","7","NEW","","6663","太洋テクノ","東S","339.0","08/06 23:02","+44","+14.9%","200","68千円","21億円","27.4倍","0.7倍"
"値上がり","8","NEW","","300A","MIC","東S","3,520.0","08/06 23:49","+450","+14.7%","15,400","54,084千円","250億円","18.5倍","2.8倍"
"値上がり","9","NEW","","6490","PILLA","東P","12,080.0","08/06 22:30","+1,470","+13.9%","2,000","23,879千円","2,762億円","19.7倍","3.3倍"
"値上がり","10","NEW","","3901","マークライ","東P","1,485.0","08/06 23:17","+138","+10.2%","10,000","14,536千円","189億円","11.4倍","2.7倍"
"値上がり","11","NEW","","6943","NKKスイ","東S","5,500.0","08/06 20:35","+500","+10.0%","200","1,100千円","45億円","14.7倍","0.3倍"
"値上がり","12","NEW","","5976","高周波熱錬","東P","1,510.0","08/06 23:59","+111","+7.9%","11,400","17,297千円","486億円","22.1倍","0.8倍"
"値上がり","13","NEW","","7018","内海造船","東S","12,150.0","08/06 23:18","+860","+7.6%","5,400","66,941千円","206億円","20.6倍","1.4倍"
"値上がり","14","NEW","","6486","イーグル工","東P","3,189.5","08/06 23:59","+213","+7.1%","5,800","18,111千円","1,458億円","12.1倍","1.1倍"
"値上がり","15","NEW","","8088","岩谷産業","東P","2,199.9","08/06 23:50","+146","+7.1%","17,600","38,441千円","5,064億円","11.1倍","1.1倍"
"値上がり","16","NEW","","6448","ブラザー工","東P","4,440.0","08/06 23:38","+293","+7.1%","4,200","18,271千円","10,982億円","14.2倍","1.4倍"
"値上がり","17","NEW","","1981","協和日成","東S","1,449.9","08/06 22:29","+95","+7.0%","200","290千円","141億円","11.7倍","0.7倍"
"値上がり","18","↓17","1","6998","日本タング","東S","2,800.0","08/06 23:59","+182","+7.0%","114,000","310,120千円","136億円","-","1.0倍"
"値上がり","19","NEW","","3435","サンコーテ","東S","1,519.4","08/06 23:49","+94","+6.6%","2,800","4,281千円","120億円","9.6倍","0.6倍"
"値上がり","20","NEW","","7277","TBK","東S","356.0","08/06 23:34","+21","+6.3%","1,600","567千円","113億円","18.8倍","0.4倍"
"値上がり","21","NEW","","9075","福山通運","東P","6,000.0","08/06 22:49","+350","+6.2%","200","1,200千円","2,113億円","12.4倍","0.7倍"
"値上がり","22","NEW","","7628","オーハシテ","東P","1,209.0","08/06 19:16","+70","+6.1%","200","242千円","309億円","14.7倍","0.8倍"
"値上がり","23","NEW","","6523","PHCHD","東P","1,150.0","08/06 23:21","+62","+5.7%","400","460千円","1,462億円","9.5倍","0.9倍"
"値上がり","24","NEW","","4004","レゾナック","東P","16,000.0","08/06 23:59","+845","+5.6%","55,000","867,964千円","30,332億円","27.0倍","3.8倍"
"値上がり","25","NEW","","478A","フツパー","東G","800.0","08/06 23:16","+42","+5.5%","200","160千円","81億円","23.4倍","3.8倍"
"値上がり","26","NEW","","6167","冨士ダイス","東P","1,048.0","08/06 23:58","+55","+5.5%","800","811千円","205億円","39.5倍","1.0倍"
"値上がり","27","NEW","","7974","任天堂","東P","8,052.0","08/06 23:59","+411","+5.4%","369,600","2,951,065千円","92,826億円","29.9倍","3.2倍"
"値上がり","28","NEW","","2681","ゲオHD","東P","2,160.0","08/06 23:47","+108","+5.3%","13,600","29,358千円","859億円","14.3倍","0.9倍"
"値上がり","29","NEW","","3667","enish","東S","28.4","08/06 23:59","+1","+5.2%","336,400","9,829千円","13億円","-","1.5倍"
"値上がり","30","NEW","","9425","ReYuu","東S","204.0","08/06 23:28","+10","+5.2%","800","162千円","14億円","-","1.1倍"
"値下がり","1","NEW","","6787","メイコー","東P","18,990.0","08/06 23:59","-4,800","-20.2%","63,000","1,189,595千円","4,874億円","18.1倍","3.4倍"
"値下がり","2","NEW","","8424","芙蓉総合リ","東P","3,713.0","08/06 23:48","-700","-15.9%","600","2,228千円","3,350億円","7.0倍","0.7倍"
"値下がり","3","NEW","","8230","はせがわ","東S","267.0","08/06 18:14","-50","-15.8%","200","53千円","49億円","8.7倍","0.4倍"
"値下がり","4","NEW","","3984","ユーザーロ","東P","1,549.0","08/06 23:58","-287","-15.6%","49,600","76,366千円","244億円","16.2倍","2.6倍"
"値下がり","5","NEW","","7271","安永","東S","852.0","08/06 23:59","-150","-15.0%","39,000","33,161千円","88億円","6.8倍","0.6倍"
"値下がり","6","NEW","","3803","イメージ情","東G","452.0","08/06 17:04","-64","-12.4%","200","90千円","15億円","-","2.4倍"
"値下がり","7","NEW","","2413","エムスリー","東P","1,620.0","08/06 23:59","-221","-12.0%","54,600","88,345千円","10,812億円","20.4倍","2.7倍"
