区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","7475","アルビス","東P","3,700.0","09/09 23:18","+700","+23.3%","3,200","11,840千円","309億円","-","0.9倍"
"値上がり","2","NEW","","4596","窪田製薬H","東G","79.3","09/09 23:58","+14","+22.0%","2,809,200","222,135千円","121億円","-","7.6倍"
"値上がり","3","NEW","","4052","フィーチャ","東G","1,258.0","09/09 23:58","+218","+21.0%","317,400","391,831千円","74億円","167.2倍","10.1倍"
"値上がり","4","NEW","","4174","アピリッツ","東S","1,018.0","09/09 23:34","+150","+17.3%","53,200","53,960千円","41億円","19.0倍","2.4倍"
"値上がり","5","NEW","","4179","ジーネクス","東G","420.0","09/09 19:24","+52","+14.1%","400","172千円","23億円","-","29.6倍"
"値上がり","6","NEW","","6966","三井ハイテ","東P","1,012.0","09/09 23:58","+113","+12.6%","361,200","369,220千円","1,849億円","12.8倍","1.5倍"
"値上がり","7","NEW","","2321","ソフトフロ","東G","212.0","09/09 23:58","+23","+12.2%","2,849,800","575,420千円","110億円","-","6.6倍"
"値上がり","8","NEW","","1783","fanta","東S","78.8","09/09 23:58","+7","+9.4%","3,754,200","289,347千円","152億円","54.4倍","2.0倍"
"値上がり","9","NEW","","8254","さいか屋","東S","355.1","09/09 23:57","+26","+7.9%","506,200","185,020千円","23億円","18.9倍","1.6倍"
"値上がり","10","NEW","","3237","イントラン","東G","100.7","09/09 23:56","+7","+7.1%","66,800","6,846千円","47億円","137.7倍","38.4倍"
"値上がり","11","NEW","","5032","ANYCO","東P","3,030.5","09/09 23:57","+176","+6.1%","48,600","147,126千円","1,817億円","14.0倍","6.3倍"
"値上がり","12","NEW","","3918","PCIHD","東S","1,240.0","09/09 17:33","+71","+6.1%","1,200","1,488千円","123億円","9.8倍","1.3倍"
"値上がり","13","NEW","","5290","ベルテクス","東S","1,269.9","09/09 22:53","+68","+5.6%","1,000","1,249千円","627億円","13.3倍","1.4倍"
"値上がり","14","NEW","","3753","フライトソ","東S","227.0","09/09 23:44","+12","+5.6%","12,200","2,774千円","33億円","13.9倍","3.7倍"
"値上がり","15","NEW","","6634","JNG","東S","78.1","09/09 19:09","+4","+5.5%","4,200","328千円","36億円","32.5倍","1.5倍"
"値上がり","16","NEW","","3989","シェアリン","東G","1,545.0","09/09 20:02","+80","+5.5%","31,400","48,427千円","370億円","14.8倍","6.6倍"
"値上がり","17","NEW","","5287","イトーヨー","東S","1,065.0","09/09 23:51","+54","+5.3%","77,600","83,546千円","31億円","15.7倍","0.8倍"
