区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","→","1","2737","トーメンデ","東P","25,499.0","07/31 23:57","+4,349","+20.6%","53,200","1,322,199千円","1,734億円","5.8倍","2.5倍"
"値上がり","2","NEW","","9110","NSユナイ","東P","9,540.0","07/31 18:50","+1,500","+18.7%","36,600","349,164千円","2,248億円","-","1.2倍"
"値上がり","3","NEW","","3177","ありがとう","東S","4,775.0","07/31 22:34","+700","+17.2%","200","955千円","44億円","9.0倍","1.2倍"
"値上がり","4","NEW","","6952","カシオ計算","東P","2,038.0","07/31 23:56","+274","+15.5%","44,600","90,917千円","4,512億円","19.2倍","1.9倍"
"値上がり","5","NEW","","3640","電算","東S","2,860.0","07/31 23:29","+253","+9.7%","12,000","36,048千円","159億円","9.3倍","1.0倍"
"値上がり","6","NEW","","6508","明電舎","東P","10,500.0","07/31 23:39","+880","+9.1%","3,800","38,859千円","4,763億円","19.1倍","2.7倍"
"値上がり","7","NEW","","7931","未来工業","東P","3,701.0","07/31 17:54","+301","+8.9%","200","740千円","599億円","13.8倍","1.1倍"
"値上がり","8","NEW","","7942","ジェイエス","東P","2,750.0","07/31 23:41","+217","+8.6%","2,800","7,636千円","721億円","9.6倍","0.6倍"
"値上がり","9","NEW","","2121","MIXI","東P","3,115.0","07/31 23:57","+219","+7.6%","3,800","11,832千円","2,028億円","8.1倍","1.1倍"
"値上がり","10","NEW","","3841","ジーダット","東S","1,300.0","07/31 23:57","+89","+7.3%","2,200","2,860千円","50億円","23.8倍","1.4倍"
"値上がり","11","NEW","","3891","ニッポン高","東S","7,200.0","07/31 23:55","+470","+7.0%","13,600","98,512千円","759億円","18.1倍","2.8倍"
"値上がり","12","NEW","","7510","たけびし","東P","2,600.0","07/31 23:09","+162","+6.6%","1,600","4,191千円","417億円","12.0倍","0.9倍"
"値上がり","13","NEW","","9556","INTLO","東G","2,200.0","07/31 17:49","+136","+6.6%","200","440千円","207億円","31.9倍","3.3倍"
"値上がり","14","NEW","","5821","平河ヒュー","東P","3,400.0","07/31 23:53","+205","+6.4%","9,200","31,660千円","529億円","12.9倍","1.2倍"
"値上がり","15","NEW","","4228","積水化成品","東P","564.0","07/31 23:58","+34","+6.4%","16,800","9,450千円","257億円","10.3倍","0.5倍"
"値上がり","16","NEW","","2673","夢みつけ隊","東S","121.0","07/31 23:50","+7","+6.1%","25,200","2,882千円","12億円","-","0.4倍"
"値上がり","17","NEW","","5393","ニチアス","東P","3,557.4","07/31 20:55","+198","+5.9%","1,400","4,854千円","6,727億円","21.0倍","2.8倍"
"値上がり","18","NEW","","5269","日本コンク","東P","361.0","07/31 23:55","+20","+5.9%","12,000","4,363千円","196億円","7.5倍","0.4倍"
"値上がり","19","NEW","","8704","トレイダー","東S","1,315.0","07/31 22:46","+68","+5.5%","8,800","11,125千円","347億円","7.2倍","1.7倍"
"値上がり","20","NEW","","6810","マクセル","東P","2,180.0","07/31 22:25","+110","+5.3%","200","436千円","804億円","12.0倍","0.9倍"
"値上がり","21","NEW","","7094","NexTo","東G","1,599.0","07/31 19:39","+78","+5.1%","200","320千円","156億円","15.6倍","2.8倍"
"値上がり","22","NEW","","6993","大黒屋HD","東S","94.6","07/31 23:58","+5","+5.1%","1,071,200","101,764千円","700億円","112.0倍","13.1倍"
"値上がり","23","NEW","","6203","豊和工業","東S","1,447.0","07/31 22:34","+66","+4.8%","1,800","2,561千円","175億円","16.2倍","0.8倍"
"値上がり","24","NEW","","4521","科研製薬","東P","3,976.0","07/31 18:49","+181","+4.8%","400","1,590千円","1,506億円","23.2倍","1.0倍"
"値上がり","25","NEW","","2782","セリア","東S","4,032.0","07/31 23:30","+182","+4.7%","600","2,415千円","2,527億円","16.4倍","2.7倍"
"値上がり","26","NEW","","1879","新日本建設","東P","2,210.0","07/31 23:56","+98","+4.6%","26,600","60,205千円","1,293億円","-","1.0倍"
"値上がり","27","NEW","","2134","北浜キャピ","東S","25.1","07/31 23:58","+1","+4.6%","3,483,800","91,072千円","137億円","7.6倍","2.6倍"
"値上がり","28","NEW","","1994","高橋カーテ","東S","575.9","07/31 22:49","+25","+4.5%","4,600","2,642千円","46億円","8.3倍","0.4倍"
"値上がり","29","NEW","","2354","YE DI","東S","1,290.0","07/31 23:55","+55","+4.5%","41,200","52,521千円","232億円","14.5倍","3.0倍"
"値上がり","30","NEW","","3101","東洋紡","東P","1,585.0","07/31 23:06","+65","+4.3%","6,000","9,508千円","1,399億円","-","0.7倍"
"値下がり","1","NEW","","8141","新光商事","東P","1,300.0","07/31 23:12","-256","-16.5%","200","260千円","371億円","26.5倍","0.7倍"
"値下がり","2","NEW","","6157","日進工具","東S","824.0","07/31 23:58","-138","-14.3%","67,600","56,261千円","193億円","24.8倍","1.1倍"
"値下がり","3","NEW","","6870","日本フェン","東S","2,265.0","07/31 23:15","-369","-14.0%","14,200","32,135千円","127億円","14.4倍","0.8倍"
"値下がり","4","NEW","","5214","日本電気硝","東P","4,626.0","07/31 23:58","-697","-13.1%","10,000","46,033千円","3,409億円","22.7倍","0.7倍"
