区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","6337","テセック","東S","2,595.0","07/28 23:59","+415","+19.0%","41,600","110,893千円","133億円","12.8倍","0.9倍"
"値上がり","2","NEW","","5285","ヤマックス","東S","1,549.0","07/28 23:58","+221","+16.6%","135,400","204,271千円","150億円","7.9倍","1.5倍"
"値上がり","3","NEW","","5284","ヤマウHD","東S","2,575.0","07/28 23:40","+362","+16.4%","16,400","41,660千円","156億円","6.9倍","1.1倍"
"値上がり","4","NEW","","7259","アイシン","東P","2,800.0","07/28 21:19","+392","+16.3%","400","1,036千円","20,288億円","13.5倍","0.9倍"
"値上がり","5","NEW","","4290","プレステー","東P","786.0","07/28 23:15","+100","+14.6%","40,400","31,451千円","980億円","16.6倍","2.0倍"
"値上がり","6","NEW","","1848","富士ピー･","東S","720.0","07/28 23:53","+83","+13.0%","36,200","26,155千円","127億円","12.6倍","1.0倍"
"値上がり","7","NEW","","7856","萩原工業","東P","2,000.0","07/28 23:31","+198","+11.0%","12,200","23,023千円","282億円","18.8倍","0.9倍"
"値上がり","8","↓7","1","2767","円谷フィー","東P","2,135.3","07/28 23:59","+205","+10.6%","463,200","979,782千円","1,329億円","8.9倍","2.2倍"
"値上がり","9","NEW","","9699","ニシオHD","東P","4,570.0","07/28 22:17","+385","+9.2%","1,600","6,994千円","1,269億円","10.4倍","0.9倍"
"値上がり","10","NEW","","6861","キーエンス","東P","76,800.0","07/28 23:54","+5,850","+8.2%","6,800","523,764千円","186,259億円","-","5.2倍"
"値上がり","11","NEW","","3423","エスイー","東S","290.0","07/28 23:48","+22","+8.2%","2,400","694千円","88億円","55.1倍","0.8倍"
"値上がり","12","NEW","","4058","トヨクモ","東G","2,400.0","07/28 21:28","+179","+8.1%","200","480千円","261億円","20.1倍","6.4倍"
"値上がり","13","NEW","","1929","日特建設","東P","1,230.0","07/28 23:49","+91","+8.0%","43,000","53,514千円","514億円","13.9倍","1.4倍"
"値上がり","14","NEW","","1813","不動テトラ","東P","2,890.0","07/28 23:59","+212","+7.9%","28,600","81,122千円","438億円","13.7倍","1.1倍"
"値上がり","15","NEW","","5269","日本コンク","東P","360.0","07/28 23:59","+26","+7.8%","25,000","8,988千円","195億円","15.0倍","0.4倍"
"値上がり","16","NEW","","1959","クラフティ","東P","9,580.0","07/28 21:02","+635","+7.1%","1,000","9,505千円","6,776億円","16.7倍","1.9倍"
"値上がり","17","NEW","","6745","ホーチキ","東P","2,048.0","07/28 21:26","+135","+7.1%","1,000","1,963千円","1,528億円","17.0倍","2.2倍"
"値上がり","18","NEW","","1431","Lib W","東G","688.0","07/28 23:48","+45","+7.0%","27,800","19,545千円","160億円","84.2倍","3.7倍"
"値上がり","19","NEW","","190A","Chord","東G","80.1","07/28 23:59","+5","+6.8%","537,400","46,741千円","62億円","-","2.7倍"
"値上がり","20","NEW","","3851","日本一ソフ","東S","1,030.0","07/28 23:21","+60","+6.2%","6,400","6,221千円","52億円","15.7倍","0.7倍"
"値上がり","21","NEW","","5597","ブルーイノ","東G","1,258.7","07/28 23:48","+73","+6.1%","1,400","1,765千円","51億円","-","37.0倍"
