区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","2354","YE DI","東S","1,255.0","07/17 21:39","+196","+18.5%","283,600","345,106千円","226億円","14.1倍","3.0倍"
"値上がり","2","NEW","","175A","Will","東G","739.0","07/17 20:09","+94","+14.6%","2,000","1,438千円","11億円","27.2倍","-"
"値上がり","3","NEW","","5074","テスHD","東P","809.0","07/17 21:35","+63","+8.4%","114,800","93,576千円","570億円","47.5倍","1.2倍"
"値上がり","4","NEW","","6323","ローツェ","東P","4,770.0","07/17 21:34","+367","+8.3%","11,800","53,834千円","8,273億円","29.7倍","6.1倍"
"値上がり","5","NEW","","4440","ヴィッツ","東S","1,200.0","07/17 17:49","+76","+6.8%","200","240千円","48億円","10.7倍","1.5倍"
"値上がり","6","NEW","","4911","資生堂","東P","3,195.0","07/17 19:05","+135","+4.4%","1,200","3,737千円","12,766億円","30.4倍","2.1倍"
"値上がり","7","NEW","","3917","アイリッジ","東G","486.0","07/17 18:39","+20","+4.3%","200","97千円","38億円","12.7倍","1.3倍"
"値上がり","8","NEW","","5942","日本フイル","東S","664.0","07/17 17:26","+27","+4.2%","200","133千円","129億円","16.1倍","0.6倍"
"値上がり","9","NEW","","4929","アジュバン","東S","760.0","07/17 20:10","+30","+4.1%","4,400","3,439千円","61億円","-","1.4倍"
"値上がり","10","NEW","","3664","WIZE","東G","22.9","07/17 21:15","+1","+4.1%","165,800","3,779千円","19億円","-","1.7倍"
"値上がり","11","NEW","","2970","GLC G","東S","954.0","07/17 18:01","+37","+4.0%","400","382千円","158億円","11.3倍","2.7倍"
"値上がり","12","NEW","","7048","ベルトラ","東G","184.5","07/17 20:00","+7","+3.7%","200","37千円","68億円","19.9倍","2.7倍"
"値上がり","13","NEW","","3817","SRAHD","東P","4,685.0","07/17 20:56","+165","+3.7%","1,600","7,466千円","592億円","10.8倍","1.8倍"
"値上がり","14","NEW","","5946","長府製作所","東P","2,064.4","07/17 21:00","+69","+3.5%","1,200","2,454千円","702億円","18.5倍","0.5倍"
"値上がり","15","NEW","","150A","JSH","東G","560.2","07/17 21:39","+18","+3.4%","319,200","186,738千円","32億円","79.4倍","1.6倍"
"値上がり","16","NEW","","2134","北浜キャピ","東S","24.8","07/17 21:39","+1","+3.3%","664,800","16,339千円","136億円","7.5倍","2.6倍"
"値上がり","17","NEW","","350A","デジタルグ","東G","787.9","07/17 21:26","+25","+3.3%","1,800","1,403千円","323億円","16.8倍","3.1倍"
"値上がり","18","NEW","","190A","Chord","東G","79.5","07/17 19:43","+3","+3.2%","800","63千円","61億円","-","2.6倍"
"値上がり","19","NEW","","278A","Terra","東G","14,200.0","07/17 21:24","+430","+3.1%","38,600","549,226千円","1,384億円","-","30.9倍"
"値上がり","20","NEW","","8360","山梨中央銀","東P","6,380.0","07/17 19:47","+190","+3.1%","400","2,626千円","1,958億円","15.7倍","0.8倍"
"値上がり","21","NEW","","246A","アスア","東G","1,111.0","07/17 17:16","+33","+3.1%","200","222千円","28億円","30.6倍","2.8倍"
"値上がり","22","NEW","","7980","重松製作所","東S","824.0","07/17 19:52","+24","+3.0%","200","165千円","59億円","8.0倍","0.6倍"
"値上がり","23","NEW","","3544","サツドラH","東S","1,257.5","07/17 21:33","+36","+2.9%","146,800","184,560千円","173億円","-","1.7倍"
"値上がり","24","NEW","","3825","リミックス","東S","204.7","07/17 21:20","+6","+2.9%","45,800","9,319千円","300億円","-","1.3倍"
"値上がり","25","NEW","","8746","unban","東S","100.8","07/17 21:24","+3","+2.9%","400","40千円","14億円","-","0.4倍"
"値上がり","26","NEW","","6740","ジャパンデ","東P","47.3","07/17 21:39","+1","+2.8%","2,531,600","119,809千円","1,835億円","-","-"
"値上がり","27","NEW","","3113","UNIVA","東S","74.9","07/17 17:11","+2","+2.6%","200","15千円","60億円","59.2倍","5.1倍"
"値上がり","28","NEW","","3936","グローバル","東G","160.0","07/17 20:18","+4","+2.6%","4,800","747千円","58億円","47.6倍","6.3倍"
"値上がり","29","NEW","","9418","U‐NEX","東P","1,719.9","07/17 21:02","+42","+2.5%","3,000","5,065千円","3,102億円","16.8倍","2.9倍"
"値上がり","30","NEW","","8798","アドバンス","東P","125.0","07/17 20:32","+3","+2.5%","3,000","375千円","46億円","10.3倍","8.5倍"
"値下がり","1","NEW","","9332","NISSO","東P","518.0","07/17 19:13","-100","-16.2%","200","104千円","174億円","8.3倍","0.9倍"
"値下がり","2","NEW","","4484","ランサーズ","東G","240.0","07/17 17:24","-45","-15.8%","200","48千円","39億円","15.4倍","2.8倍"
"値下がり","3","NEW","","598A","チャットプ","東G","1,990.0","07/17 21:39","-294","-12.9%","109,400","216,453千円","80億円","-","19.0倍"
"値下がり","4","NEW","","8364","清水銀行","東P","2,208.0","07/17 21:08","-283","-11.4%","200","442千円","250億円","10.0倍","0.3倍"
"値下がり","5","NEW","","280A","TMH","東G","996.0","07/17 21:39","-107","-9.7%","87,200","86,777千円","37億円","-","2.7倍"
"値下がり","6","NEW","","4381","ビープラッ","東G","475.5","07/17 21:08","-39","-7.5%","63,000","30,375千円","14億円","32.9倍","-"
"値下がり","7","NEW","","5216","倉元製作所","東S","170.4","07/17 21:36","-14","-7.4%","306,200","52,579千円","82億円","-","13.5倍"
"値下がり","8","NEW","","5242","アイズ","東G","1,150.0","07/17 19:46","-80","-6.5%","1,400","1,690千円","12億円","393.3倍","2.0倍"
"値下がり","9","NEW","","8563","大東銀行","東S","930.0","07/17 21:39","-59","-6.0%","200","186千円","118億円","7.4倍","0.4倍"
"値下がり","10","NEW","","195A","MUSCA","東G","700.0","07/17 21:15","-39","-5.3%","2,200","1,549千円","24億円","-","2.2倍"
"値下がり","11","NEW","","6616","トレックス","東P","1,712.1","07/17 18:21","-94","-5.2%","400","693千円","181億円","13.0倍","1.0倍"
"値下がり","12","NEW","","3934","ベネフィッ","東S","2,100.0","07/17 17:09","-110","-5.0%","200","420千円","124億円","10.9倍","1.4倍"
"値下がり","13","NEW","","3922","PR TI","東P","2,000.0","07/17 17:02","-68","-3.3%","400","800千円","271億円","12.3倍","2.9倍"
