区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","6513","オリジン","東S","1,376.0","08/13 22:46","+300","+27.9%","30,200","40,572千円","71億円","70.6倍","0.3倍"
"値上がり","2","NEW","","3633","GMOペパ","東S","2,200.0","08/13 21:24","+400","+22.2%","2,800","6,160千円","113億円","8.6倍","3.4倍"
"値上がり","3","NEW","","3659","ネクソン","東P","3,021.5","08/13 21:03","+500","+19.8%","3,000","9,065千円","23,699億円","-","2.2倍"
"値上がり","4","NEW","","150A","JSH","東G","619.0","08/13 23:00","+100","+19.3%","3,200","1,981千円","35億円","18.3倍","1.8倍"
"値上がり","5","NEW","","6904","原田工業","東S","540.0","08/13 20:56","+80","+17.4%","26,000","14,040千円","114億円","19.0倍","0.8倍"
"値上がり","6","NEW","","3895","ハビックス","東S","569.0","08/13 23:27","+80","+16.4%","666,400","377,600千円","45億円","12.7倍","0.6倍"
"値上がり","7","NEW","","3710","ジョルダン","東S","721.0","08/13 23:25","+100","+16.1%","6,200","4,446千円","37億円","11.5倍","0.7倍"
"値上がり","8","NEW","","4180","Appie","東P","1,132.0","08/13 23:58","+150","+15.3%","152,200","171,090千円","1,156億円","28.1倍","2.9倍"
"値上がり","9","↓6","3","6862","ミナトHD","東S","3,969.0","08/13 23:59","+519","+15.0%","482,600","1,972,637千円","294億円","4.9倍","2.5倍"
"値上がり","10","NEW","","2736","フェスタリ","東S","764.0","08/13 23:31","+96","+14.4%","400","306千円","27億円","17.1倍","1.6倍"
"値上がり","11","↓9","2","4255","THECO","東G","3,630.5","08/13 23:59","+431","+13.5%","12,600","46,049千円","77億円","12.6倍","9.2倍"
"値上がり","12","NEW","","3660","アイスタイ","東P","488.5","08/13 23:59","+52","+11.8%","121,800","60,012千円","489億円","34.9倍","2.2倍"
"値上がり","13","NEW","","6946","日本アビオ","東S","6,590.0","08/13 23:58","+660","+11.1%","200","1,318千円","975億円","23.2倍","5.7倍"
"値上がり","14","NEW","","6694","ズーム","東S","740.0","08/13 23:58","+71","+10.6%","16,000","11,748千円","32億円","8.0倍","0.5倍"
"値上がり","15","NEW","","4377","ワンキャリ","東G","2,390.0","08/13 23:58","+224","+10.3%","18,200","43,599千円","440億円","20.5倍","6.5倍"
"値上がり","16","NEW","","5586","Labor","東G","920.0","08/13 23:57","+80","+9.5%","14,400","13,211千円","147億円","54.7倍","5.4倍"
"値上がり","17","NEW","","3358","Trail","東S","103.9","08/13 23:59","+9","+9.4%","1,142,000","129,430千円","39億円","73.1倍","1.8倍"
"値上がり","18","NEW","","3538","ウイルプラ","東S","1,055.0","08/13 23:31","+88","+9.1%","13,600","14,456千円","96億円","7.6倍","0.8倍"
"値上がり","19","NEW","","4574","大幸薬品","東P","278.0","08/13 23:59","+22","+8.6%","9,000","2,387千円","140億円","25.4倍","1.7倍"
"値上がり","20","NEW","","5884","クラダシ","東G","689.1","08/13 23:56","+54","+8.5%","25,200","16,867千円","84億円","27.6倍","4.9倍"
"値上がり","21","NEW","","3937","Ubico","東S","1,125.0","08/13 23:19","+87","+8.4%","4,800","5,456千円","136億円","12.9倍","2.3倍"
"値上がり","22","NEW","","4480","メドレー","東P","2,355.0","08/13 23:54","+178","+8.2%","3,200","7,500千円","712億円","39.5倍","4.8倍"
"値上がり","23","NEW","","7150","島根銀行","東S","545.0","08/13 18:16","+40","+7.9%","200","109千円","45億円","16.6倍","0.4倍"
