区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","4170","Kaize","東G","222.0","08/24 23:50","+50","+29.1%","816,400","181,241千円","38億円","189.8倍","1.3倍"
"値上がり","2","NEW","","462A","FUNDI","東G","317.0","08/24 23:55","+36","+12.8%","308,800","97,782千円","76億円","-","1.6倍"
"値上がり","3","NEW","","4394","エクスモー","東G","606.0","08/24 21:23","+50","+9.0%","200","121千円","37億円","27.6倍","2.2倍"
"値上がり","4","NEW","","4833","Def c","東G","74.5","08/24 23:58","+6","+8.0%","694,400","50,124千円","54億円","4.0倍","2.9倍"
"値上がり","5","NEW","","9535","広島ガス","東P","456.0","08/24 23:37","+31","+7.3%","600","281千円","313億円","14.2倍","0.4倍"
"値上がり","6","NEW","","6165","パンチ工業","東S","565.0","08/24 23:51","+38","+7.2%","3,800","2,134千円","156億円","13.0倍","0.6倍"
"値上がり","7","↓3","4","3189","ANAPH","東S","170.0","08/24 23:58","+11","+6.9%","160,000","26,576千円","77億円","-","1.0倍"
"値上がり","8","NEW","","281A","インフォメ","東G","455.0","08/24 23:50","+28","+6.6%","1,000","467千円","27億円","-","3.3倍"
"値上がり","9","↑4","13","5721","エスクリプ","東S","58.4","08/24 23:58","+3","+6.2%","110,200","6,283千円","104億円","-","2.3倍"
"値上がり","10","↓5","5","6085","アーキテク","東G","145.0","08/24 23:58","+8","+5.8%","1,223,600","177,851千円","166億円","437.8倍","-"
"値上がり","11","NEW","","7048","ベルトラ","東G","166.8","08/24 22:36","+9","+5.6%","400","67千円","61億円","18.0倍","2.5倍"
"値上がり","12","NEW","","6951","日本電子","東P","7,499.0","08/24 17:05","+365","+5.1%","200","1,500千円","3,653億円","17.1倍","2.6倍"
"値上がり","13","NEW","","7138","TORIC","東G","208.9","08/24 23:58","+10","+5.0%","211,000","43,285千円","33億円","-","2.3倍"
"値上がり","14","NEW","","9979","大庄","東S","1,150.0","08/24 18:35","+52","+4.7%","400","486千円","241億円","26.2倍","2.1倍"
"値上がり","15","↓3","12","3350","メタプラネ","東S","318.5","08/24 23:58","+14","+4.4%","5,296,600","1,676,585千円","4,081億円","-","1.2倍"
"値上がり","16","NEW","","3444","菊池製作所","東S","1,039.8","08/24 23:00","+44","+4.4%","2,400","2,519千円","126億円","91.7倍","2.1倍"
"値上がり","17","NEW","","6632","JVCケン","東P","1,050.0","08/24 19:22","+42","+4.1%","1,000","1,023千円","1,484億円","9.9倍","1.0倍"
"値上がり","18","NEW","","196A","MFS","東G","383.9","08/24 19:47","+15","+4.0%","600","226千円","39億円","10.6倍","1.4倍"
"値上がり","19","NEW","","2669","カネ美食品","東S","4,140.0","08/24 23:34","+140","+3.5%","200","828千円","392億円","22.3倍","1.3倍"
"値上がり","20","NEW","","3065","ライフフー","東S","1,675.5","08/24 23:33","+57","+3.5%","400","670千円","52億円","71.1倍","3.0倍"
"値上がり","21","NEW","","6522","アスタリス","東G","2,043.0","08/24 23:56","+63","+3.2%","50,000","102,471千円","164億円","252.9倍","8.7倍"
"値上がり","22","NEW","","5707","東邦亜鉛","東P","1,226.3","08/24 23:50","+34","+2.9%","7,800","9,556千円","223億円","6.5倍","1.2倍"
"値上がり","23","NEW","","4344","ソースネク","東P","122.0","08/24 22:54","+3","+2.5%","9,600","1,158千円","169億円","-","3.6倍"
"値上がり","24","↓3","21","7603","ジーイエッ","東S","45.1","08/24 23:57","+1","+2.5%","76,600","3,437千円","34億円","3.8倍","1.1倍"
"値上がり","25","NEW","","6573","CRAVI","東G","29.7","08/24 23:48","+1","+2.4%","59,600","1,785千円","18億円","-","3.8倍"
"値上がり","26","NEW","","7318","セレンディ","東G","1,485.0","08/24 17:58","+35","+2.4%","400","602千円","270億円","12.3倍","2.0倍"
"値上がり","27","↓1","26","3168","MERF","東S","1,489.0","08/24 22:12","+34","+2.3%","200","298千円","211億円","7.5倍","1.8倍"
"値上がり","28","NEW","","3907","シリコンス","東S","1,828.0","08/24 23:53","+41","+2.3%","11,600","21,241千円","50億円","-","3.1倍"
"値上がり","29","NEW","","245A","INGS","東G","2,530.0","08/24 20:06","+52","+2.1%","200","506千円","64億円","18.8倍","2.8倍"
"値上がり","30","NEW","","2281","プリマハム","東P","2,490.0","08/24 20:58","+49","+2.0%","200","498千円","1,252億円","16.7倍","1.0倍"
"値下がり","1","NEW","","476A","辻･本郷I","東S","1,200.3","08/24 17:43","-390","-24.5%","200","240千円","24億円","8.1倍","1.4倍"
"値下がり","2","NEW","","7458","第一興商","東P","1,466.0","08/24 23:58","-400","-21.4%","400","586千円","1,516億円","12.0倍","1.2倍"
"値下がり","3","NEW","","7235","東京ラヂエ","東S","1,400.0","08/24 20:32","-185","-11.7%","200","280千円","133億円","7.4倍","0.5倍"
"値下がり","4","NEW","","190A","Chord","東G","75.8","08/24 23:58","-6","-7.6%","345,400","26,452千円","59億円","-","2.5倍"
"値下がり","5","NEW","","3261","グランディ","東G","380.0","08/24 21:21","-30","-7.3%","200","76千円","16億円","19.5倍","0.6倍"
"値下がり","6","NEW","","8918","ランド","東S","10.2","08/24 23:51","-1","-7.3%","1,732,800","17,507千円","157億円","11.6倍","1.6倍"
