区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","4052","フィーチャ","東G","308.0","07/22 12:47","+76","+32.8%","6,600","2,043千円","18億円","128.6倍","2.6倍"
"値上がり","2","NEW","","4424","Amazi","東G","357.0","07/22 12:58","+80","+28.9%","29,600","9,471千円","23億円","-","3.1倍"
"値上がり","3","NEW","","3907","シリコンス","東S","904.0","07/21 23:58","+150","+19.9%","210,000","180,785千円","25億円","-","1.5倍"
"値上がり","4","NEW","","4073","ジィ･シィ","東G","516.0","07/22 09:59","+80","+18.3%","2,200","1,135千円","13億円","24.3倍","7.0倍"
"値上がり","5","NEW","","3803","イメージ情","東G","532.0","07/22 13:19","+80","+17.7%","28,800","14,984千円","18億円","-","2.8倍"
"値上がり","6","NEW","","7602","レダックス","東S","202.0","07/22 00:00","+30","+17.4%","400,200","84,828千円","42億円","23.9倍","0.9倍"
"値上がり","7","NEW","","6769","ザインエレ","東S","1,077.0","07/22 14:10","+118","+12.3%","57,200","61,799千円","113億円","105.8倍","1.4倍"
"値上がり","8","NEW","","1770","藤田エンジ","東S","2,298.8","07/22 12:54","+241","+11.7%","200","460千円","211億円","10.6倍","1.0倍"
"値上がり","9","NEW","","9342","スマサポ","東G","920.0","07/22 06:00","+83","+9.9%","200","184千円","22億円","14.3倍","3.6倍"
"値上がり","10","NEW","","6200","インソース","東P","692.5","07/22 14:14","+62","+9.7%","267,000","182,803千円","582億円","13.2倍","4.3倍"
"値上がり","11","NEW","","4025","多木化学","東P","5,380.0","07/22 14:14","+465","+9.5%","8,600","44,584千円","449億円","16.9倍","1.0倍"
"値上がり","12","NEW","","4092","日本化学工","東P","5,670.0","07/22 14:14","+480","+9.2%","28,200","147,579千円","492億円","16.4倍","1.0倍"
"値上がり","13","NEW","","4889","レナサイエ","東G","1,690.0","07/22 06:00","+140","+9.0%","40,000","65,519千円","233億円","-","7.0倍"
"値上がり","14","NEW","","6997","日本ケミコ","東P","3,360.5","07/22 14:14","+261","+8.4%","56,600","181,527千円","809億円","20.2倍","1.3倍"
"値上がり","15","NEW","","7014","名村造船所","東S","4,219.5","07/22 14:14","+325","+8.3%","119,400","488,495千円","2,931億円","13.3倍","2.1倍"
"値上がり","16","NEW","","3667","enish","東S","31.3","07/22 00:00","+2","+7.9%","1,518,600","48,519千円","14億円","-","1.7倍"
"値上がり","17","NEW","","3645","メディカル","東G","259.0","07/21 22:08","+18","+7.5%","400","100千円","24億円","16.4倍","1.2倍"
"値上がり","18","NEW","","3900","クラウドワ","東G","679.1","07/22 14:12","+47","+7.5%","8,800","5,805千円","107億円","-","1.7倍"
"値上がり","19","NEW","","4074","ラキール","東G","910.9","07/22 14:08","+63","+7.4%","800","707千円","61億円","15.8倍","1.7倍"
"値上がり","20","NEW","","6323","ローツェ","東P","4,656.0","07/22 14:14","+313","+7.2%","109,800","491,307千円","8,075億円","29.0倍","5.9倍"
"値上がり","21","NEW","","4896","ケイファー","東G","779.0","07/21 21:13","+52","+7.2%","2,200","1,791千円","91億円","-","8.9倍"
"値上がり","22","NEW","","4960","ケミプロ化","東S","542.9","07/22 13:20","+36","+7.1%","1,000","523千円","87億円","-","1.7倍"
"値上がり","23","NEW","","4820","イーエムシ","東P","555.8","07/21 23:48","+36","+6.9%","25,000","14,185千円","385億円","17.5倍","2.0倍"
"値上がり","24","NEW","","6832","アオイ電子","東S","2,485.0","07/22 14:03","+156","+6.7%","7,000","16,606千円","278億円","121.0倍","0.6倍"
"値上がり","25","NEW","","9417","スマートバ","東S","341.1","07/21 22:37","+21","+6.6%","2,000","692千円","34億円","-","2.4倍"
"値上がり","26","NEW","","6999","KOA","東P","2,534.0","07/22 14:14","+156","+6.6%","41,000","100,027千円","941億円","19.7倍","1.1倍"
"値上がり","27","NEW","","7815","東京ボード","東S","375.0","07/22 13:31","+23","+6.5%","1,400","514千円","10億円","0.3倍","1.6倍"
"値上がり","28","NEW","","2323","fonfu","東S","310.0","07/22 06:00","+19","+6.5%","2,000","612千円","65億円","14.6倍","4.9倍"
"値上がり","29","NEW","","6217","津田駒工業","東S","763.1","07/22 14:05","+46","+6.4%","6,200","4,682千円","49億円","48.7倍","1.9倍"
"値上がり","30","NEW","","4597","ソレイジア","東G","28.7","07/22 14:14","+2","+6.3%","2,592,400","72,128千円","78億円","-","4.6倍"
"値下がり","1","NEW","","7214","GMB","東S","802.0","07/21 17:36","-243","-23.3%","2,000","2,147千円","43億円","4.3倍","0.2倍"
"値下がり","2","NEW","","6085","アーキテク","東G","136.9","07/22 14:14","-32","-19.0%","218,400","35,550千円","157億円","413.4倍","-"
"値下がり","3","NEW","","8098","稲畑産業","東P","3,255.0","07/22 06:00","-755","-18.8%","9,400","30,597千円","1,738億円","8.3倍","0.7倍"
"値下がり","4","NEW","","9256","サクシード","東G","3,320.5","07/22 13:46","-700","-17.4%","6,000","20,623千円","119億円","45.7倍","4.6倍"
"値下がり","5","NEW","","2418","ツカダ･グ","東S","504.0","07/21 18:56","-100","-16.6%","6,600","3,326千円","237億円","3.9倍","0.6倍"
"値下がり","6","NEW","","9304","澁澤倉庫","東P","1,843.0","07/22 14:09","-293","-13.7%","36,200","74,937千円","1,049億円","16.1倍","1.5倍"
"値下がり","7","NEW","","7134","アップガレ","東S","1,219.1","07/21 19:51","-191","-13.5%","200","244千円","97億円","10.6倍","1.9倍"
"値下がり","8","NEW","","1939","四電工","東P","1,699.0","07/22 06:00","-258","-13.2%","11,200","19,029千円","804億円","12.2倍","1.1倍"
"値下がり","9","↑16","25","253A","ETSG","東S","1,000.0","07/22 06:00","-111","-10.0%","1,600","1,600千円","64億円","12.8倍","1.7倍"
"値下がり","10","NEW","","598A","チャットプ","東G","2,515.0","07/22 06:00","-269","-9.7%","146,000","367,894千円","101億円","-","24.0倍"
"値下がり","11","NEW","","4667","アイサンテ","東S","1,836.1","07/22 14:14","-194","-9.6%","2,200","4,372千円","97億円","17.7倍","1.5倍"
"値下がり","12","NEW","","4894","クオリプス","東G","4,254.5","07/22 14:05","-401","-8.6%","36,200","159,272千円","351億円","-","7.5倍"
"値下がり","13","NEW","","4381","ビープラッ","東G","381.0","07/21 23:58","-33","-8.0%","100,400","38,714千円","11億円","26.4倍","-"
"値下がり","14","NEW","","3237","イントラン","東G","93.1","07/22 14:14","-8","-7.8%","43,800","4,211千円","43億円","127.3倍","21.5倍"
"値下がり","15","NEW","","336A","ダイナミッ","東G","805.9","07/22 14:12","-66","-7.6%","16,200","14,029千円","190億円","-","2.6倍"
"値下がり","16","NEW","","3077","ホリイフー","東S","855.0","07/21 17:50","-67","-7.3%","1,000","855千円","59億円","14.6倍","5.7倍"
"値下がり","17","NEW","","6659","メディアリ","東S","50.5","07/22 14:14","-4","-6.5%","2,919,600","159,013千円","38億円","-","1.5倍"
"値下がり","18","NEW","","5243","note","東G","1,918.9","07/22 14:14","-123","-6.0%","21,200","42,069千円","372億円","31.0倍","4.9倍"
"値下がり","19","NEW","","2393","日本ケアサ","東S","4,104.5","07/22 13:53","-256","-5.9%","15,000","61,592千円","638億円","27.7倍","3.4倍"
"値下がり","20","NEW","","4680","ラウンドワ","東P","1,197.0","07/22 14:14","-73","-5.7%","146,000","178,148千円","3,147億円","17.2倍","3.8倍"
"値下がり","21","NEW","","7063","Birdm","東G","83.0","07/22 14:10","-5","-5.7%","27,000","2,310千円","28億円","-","1.8倍"
"値下がり","22","NEW","","3673","ブロードリ","東P","420.7","07/22 14:14","-25","-5.7%","82,600","36,100千円","762億円","23.8倍","3.1倍"
"値下がり","23","NEW","","6227","AIメカテ","東S","6,540.0","07/22 14:14","-380","-5.5%","115,200","788,049千円","3,691億円","119.9倍","9.0倍"
"値下がり","24","NEW","","9421","エヌジェイ","東S","470.0","07/21 18:09","-27","-5.4%","400","188千円","25億円","22.6倍","1.6倍"
"値下がり","25","NEW","","4911","資生堂","東P","3,040.0","07/22 14:14","-173","-5.4%","548,800","1,723,128千円","12,146億円","28.9倍","2.0倍"
"値下がり","26","NEW","","6331","三菱化工機","東P","3,080.5","07/22 06:00","-175","-5.4%","21,000","64,724千円","702億円","10.2倍","1.6倍"
"値下がり","27","NEW","","6047","Gunos","東S","352.1","07/22 14:14","-20","-5.3%","30,400","11,034千円","84億円","-","0.8倍"
"値下がり","28","NEW","","6224","JRC","東G","1,157.0","07/22 14:12","-58","-4.8%","4,200","5,091千円","150億円","12.0倍","2.5倍"
"値下がり","29","NEW","","9854","愛眼","東S","274.7","07/22 13:59","-13","-4.6%","22,800","6,435千円","53億円","27.3倍","0.4倍"
"値下がり","30","NEW","","2321","ソフトフロ","東G","123.1","07/22 14:10","-6","-4.6%","15,800","2,014千円","64億円","-","3.8倍"
